date,new_price_usd,used_price_usd,used_source
2026-05-09,1799.00,,
2026-05-10,1799.00,,
2026-05-11,1799.00,,
2026-05-12,1799.00,,
2026-05-13,1799.00,,
2026-05-14,1799.00,,
2026-05-15,1799.00,,
2026-05-16,1799.00,,
2026-05-17,1799.00,,
2026-05-18,1799.00,,
2026-05-19,1799.00,,
2026-05-20,1799.00,,
2026-05-21,1799.00,,
2026-05-22,1799.00,,
2026-05-23,1799.00,,
2026-05-24,1799.00,,
2026-05-25,1799.00,,
2026-05-26,1799.00,,
2026-05-27,1799.00,,
2026-05-28,1799.00,,
2026-05-29,1799.00,,
2026-05-30,1799.00,,
2026-05-31,1799.00,,
2026-06-01,1799.00,,
