date,new_price_usd,used_price_usd,used_source
2026-05-09,1320.00,,
2026-05-10,1320.00,,
2026-05-11,1320.00,,
2026-05-12,1320.00,,
2026-05-13,1320.00,,
2026-05-14,1320.00,,
2026-05-15,1320.00,,
2026-05-16,1320.00,,
2026-05-17,1320.00,,
2026-05-18,1320.00,,
2026-05-19,1320.00,,
2026-05-20,1320.00,,
2026-05-21,1320.00,,
2026-05-22,1320.00,,
2026-05-23,1320.00,,
2026-05-24,1320.00,,
2026-05-25,1320.00,,
2026-05-26,1320.00,,
2026-05-27,1320.00,,
2026-05-28,1320.00,,
2026-05-29,1320.00,,
