date,new_price_usd,used_price_usd,used_source
2026-05-09,849.00,,
2026-05-10,849.00,,
2026-05-11,849.00,,
2026-05-12,849.00,,
2026-05-13,849.00,,
2026-05-14,849.00,,
2026-05-15,849.00,,
2026-05-16,849.00,,
2026-05-17,849.00,,
2026-05-18,849.00,,
2026-05-19,849.00,,
2026-05-20,849.00,,
2026-05-21,849.00,,
2026-05-22,849.00,,
2026-05-23,849.00,,
2026-05-24,849.00,,
2026-05-25,849.00,,
2026-05-26,849.00,,
2026-05-27,849.00,,
2026-05-28,849.00,,
2026-05-29,849.00,,
2026-05-30,849.00,,
2026-05-31,849.00,,
2026-06-01,849.00,,
2026-06-02,849.00,,
2026-06-03,849.00,,
2026-06-04,849.00,,
2026-06-05,849.00,,
2026-06-06,849.00,,
2026-06-07,849.00,,
2026-06-08,849.00,,
2026-06-09,849.00,,
2026-06-10,849.00,,
2026-06-11,849.00,,
2026-06-12,849.00,,
2026-06-13,849.00,,
2026-06-14,849.00,,
2026-06-15,849.00,,
2026-06-16,849.00,,
2026-06-17,849.00,,
2026-06-18,849.00,,
2026-06-19,849.00,,
2026-06-20,849.00,,
2026-06-21,849.00,,
2026-06-22,849.00,,
2026-06-23,849.00,,
2026-06-24,849.00,,
2026-06-25,849.00,,
2026-06-26,849.00,,
2026-06-27,849.00,,
2026-06-28,849.00,,
2026-06-29,849.00,,
2026-06-30,849.00,,
