date,new_price_usd,used_price_usd,used_source
2026-05-09,6188.00,,
2026-05-10,6188.00,,
2026-05-11,6188.00,,
2026-05-12,6188.00,,
2026-05-13,6188.00,,
2026-05-14,6188.00,,
2026-05-15,6188.00,,
2026-05-16,6188.00,,
2026-05-17,6188.00,,
2026-05-18,6188.00,,
2026-05-19,6188.00,,
2026-05-20,6188.00,,
2026-05-21,6188.00,,
2026-05-22,6188.00,,
2026-05-23,6188.00,,
2026-05-24,6188.00,,
2026-05-25,6188.00,,
2026-05-26,6188.00,,
2026-05-27,6188.00,,
2026-05-28,6188.00,,
2026-05-29,6188.00,,
2026-05-30,6188.00,,
2026-05-31,6188.00,,
2026-06-01,6188.00,,
2026-06-02,6188.00,,
2026-06-03,6188.00,,
2026-06-04,6188.00,,
2026-06-05,6188.00,,
2026-06-06,6188.00,,
2026-06-07,6188.00,,
2026-06-08,6188.00,,
2026-06-09,6188.00,,
