date,new_price_usd,used_price_usd,used_source
2026-05-09,346.00,,
2026-05-10,346.00,,
2026-05-11,346.00,,
2026-05-12,346.00,,
2026-05-13,346.00,,
2026-05-14,346.00,,
2026-05-15,346.00,,
2026-05-16,346.00,,
2026-05-17,346.00,,
2026-05-18,346.00,,
2026-05-19,346.00,,
2026-05-20,346.00,,
2026-05-21,346.00,,
2026-05-22,346.00,,
2026-05-23,346.00,,
2026-05-24,346.00,,
2026-05-25,346.00,,
2026-05-26,346.00,,
2026-05-27,346.00,,
2026-05-28,346.00,,
2026-05-29,346.00,,
2026-05-30,346.00,,
2026-05-31,346.00,,
2026-06-01,346.00,,
2026-06-02,346.00,,
2026-06-03,346.00,,
2026-06-04,346.00,,
2026-06-05,346.00,,
2026-06-06,346.00,,
2026-06-07,346.00,,
2026-06-08,346.00,,
2026-06-09,346.00,,
2026-06-10,346.00,,
2026-06-11,346.00,,
2026-06-12,346.00,,
2026-06-13,346.00,,
2026-06-14,346.00,,
2026-06-15,346.00,,
2026-06-16,346.00,,
2026-06-17,346.00,,
2026-06-18,346.00,,
2026-06-19,346.00,,
2026-06-20,346.00,,
2026-06-21,346.00,,
2026-06-22,346.00,,
2026-06-23,346.00,,
2026-06-24,346.00,,
2026-06-25,346.00,,
2026-06-26,346.00,,
2026-06-27,346.00,,
2026-06-28,346.00,,
2026-06-29,346.00,,
2026-06-30,346.00,,
2026-07-01,346.00,,
2026-07-02,346.00,,
2026-07-03,346.00,,
2026-07-04,346.00,,
2026-07-05,346.00,,
2026-07-06,346.00,,
2026-07-07,346.00,,
2026-07-08,346.00,,
2026-07-09,346.00,,
2026-07-10,346.00,,
2026-07-11,346.00,,
2026-07-12,346.00,,
2026-07-13,346.00,,
2026-07-14,346.00,,
2026-07-15,346.00,,
2026-07-16,346.00,,
2026-07-17,346.00,,
2026-07-18,346.00,,
2026-07-19,346.00,,
2026-07-20,346.00,,
2026-07-21,346.00,,
2026-07-22,346.00,,
2026-07-23,346.00,,
2026-07-24,346.00,,
2026-07-25,346.00,,
2026-07-26,346.00,,
2026-07-27,346.00,,
2026-07-28,346.00,,
2026-07-29,346.00,,
2026-07-30,346.00,,
2026-07-31,346.00,,
2026-08-01,346.00,,
2026-08-02,346.00,,
2026-08-03,346.00,,
2026-08-04,346.00,,
2026-08-05,346.00,,
2026-08-06,346.00,,
2026-08-07,346.00,,
2026-08-08,346.00,,
2026-08-09,346.00,,
2026-08-10,346.00,,
2026-08-11,346.00,,
2026-08-12,346.00,,
2026-08-13,346.00,,
2026-08-14,346.00,,
2026-08-15,346.00,,
2026-08-16,346.00,,
2026-08-17,346.00,,
2026-08-18,346.00,,
2026-08-19,346.00,,
2026-08-20,346.00,,
2026-08-21,346.00,,
2026-08-22,346.00,,
2026-08-23,346.00,,
2026-08-24,346.00,,
2026-08-25,346.00,,
2026-08-26,346.00,,
2026-08-27,409.00,,
2026-08-28,409.00,,
2026-08-29,409.00,,
2026-08-30,409.00,,
2026-08-31,409.00,,
