date,new_price_usd,used_price_usd,used_source
2026-05-09,650.00,,
2026-05-10,650.00,,
2026-05-11,650.00,,
2026-05-12,650.00,,
2026-05-13,650.00,,
2026-05-14,650.00,,
2026-05-15,650.00,,
2026-05-16,650.00,,
2026-05-17,650.00,,
2026-05-18,650.00,,
2026-05-19,650.00,,
2026-05-20,650.00,,
2026-05-21,650.00,,
2026-05-22,650.00,,
2026-05-23,650.00,,
2026-05-24,650.00,,
2026-05-25,650.00,,
2026-05-26,650.00,,
2026-05-27,650.00,,
2026-05-28,650.00,,
2026-05-29,650.00,,
2026-05-30,650.00,,
2026-05-31,650.00,,
2026-06-01,650.00,,
2026-06-02,650.00,,
2026-06-03,650.00,,
2026-06-04,650.00,,
