date,new_price_usd,used_price_usd,used_source
2026-05-09,720.00,,
2026-05-10,720.00,,
2026-05-11,720.00,,
2026-05-12,720.00,,
2026-05-13,720.00,,
2026-05-14,720.00,,
2026-05-15,720.00,,
2026-05-16,720.00,,
2026-05-17,720.00,,
2026-05-18,720.00,,
2026-05-19,720.00,,
2026-05-20,720.00,,
2026-05-21,720.00,,
2026-05-22,720.00,,
2026-05-23,720.00,,
2026-05-24,720.00,,
2026-05-25,720.00,,
2026-05-26,720.00,,
2026-05-27,720.00,,
2026-05-28,720.00,,
2026-05-29,720.00,,
2026-05-30,720.00,,
2026-05-31,720.00,,
2026-06-01,720.00,,
2026-06-02,720.00,,
2026-06-03,720.00,,
2026-06-04,720.00,,
2026-06-05,720.00,,
2026-06-06,720.00,,
2026-06-07,720.00,,
2026-06-08,720.00,,
2026-06-09,720.00,,
2026-06-10,720.00,,
2026-06-11,720.00,,
2026-06-12,720.00,,
2026-06-13,720.00,,
2026-06-14,720.00,,
2026-06-15,720.00,,
2026-06-16,720.00,,
2026-06-17,720.00,,
2026-06-18,720.00,,
2026-06-19,720.00,,
2026-06-20,720.00,,
2026-06-21,720.00,,
2026-06-22,720.00,,
2026-06-23,720.00,,
2026-06-24,720.00,,
2026-06-25,720.00,,
2026-06-26,720.00,,
2026-06-27,720.00,,
2026-06-28,720.00,,
2026-06-29,720.00,,
2026-06-30,720.00,,
2026-07-01,720.00,,
2026-07-02,720.00,,
2026-07-03,720.00,,
2026-07-04,720.00,,
2026-07-05,720.00,,
2026-07-06,720.00,,
2026-07-07,720.00,,
2026-07-08,720.00,,
2026-07-09,720.00,,
2026-07-10,720.00,,
2026-07-11,720.00,,
2026-07-12,720.00,,
2026-07-13,720.00,,
2026-07-14,720.00,,
