date,new_price_usd,used_price_usd,used_source
2026-05-09,900.00,,
2026-05-10,900.00,,
2026-05-11,900.00,,
2026-05-12,900.00,,
2026-05-13,900.00,,
2026-05-14,900.00,,
2026-05-15,900.00,,
2026-05-16,900.00,,
2026-05-17,900.00,,
2026-05-18,900.00,,
2026-05-19,900.00,,
2026-05-20,900.00,,
2026-05-21,900.00,,
2026-05-22,900.00,,
2026-05-23,900.00,,
2026-05-24,900.00,,
2026-05-25,900.00,,
2026-05-26,900.00,,
2026-05-27,900.00,,
2026-05-28,900.00,,
2026-05-29,900.00,,
2026-05-30,900.00,,
2026-05-31,900.00,,
2026-06-01,900.00,,
2026-06-02,900.00,,
2026-06-03,900.00,,
2026-06-04,900.00,,
2026-06-05,900.00,,
