date,new_price_usd,used_price_usd,used_source
2026-05-09,3609.00,,
2026-05-10,3609.00,,
2026-05-11,3609.00,,
2026-05-12,3609.00,,
2026-05-13,3609.00,,
2026-05-14,3609.00,,
2026-05-15,3609.00,,
2026-05-16,3609.00,,
2026-05-17,3609.00,,
2026-05-18,3609.00,,
2026-05-19,3609.00,,
2026-05-20,3609.00,,
2026-05-21,3609.00,,
2026-05-22,3609.00,,
2026-05-23,3609.00,,
2026-05-24,3609.00,,
2026-05-25,3609.00,,
2026-05-26,3609.00,,
2026-05-27,3609.00,,
2026-05-28,3609.00,,
2026-05-29,3609.00,,
2026-05-30,3609.00,,
2026-05-31,3609.00,,
2026-06-01,3609.00,,
2026-06-02,3609.00,,
2026-06-03,3609.00,,
2026-06-04,3609.00,,
2026-06-05,3609.00,,
2026-06-06,3609.00,,
2026-06-07,3609.00,,
2026-06-08,3609.00,,
2026-06-09,3609.00,,
2026-06-10,3609.00,,
2026-06-11,3609.00,,
2026-06-12,3609.00,,
