date,new_price_usd,used_price_usd,used_source
2026-05-09,1499.00,,
2026-05-10,1499.00,,
2026-05-11,1499.00,,
2026-05-12,1499.00,,
2026-05-13,1499.00,,
2026-05-14,1499.00,,
2026-05-15,1499.00,,
2026-05-16,1499.00,,
2026-05-17,1499.00,,
2026-05-18,1499.00,,
2026-05-19,1499.00,,
2026-05-20,1499.00,,
2026-05-21,1499.00,,
2026-05-22,1499.00,,
2026-05-23,1499.00,,
2026-05-24,1499.00,,
2026-05-25,1499.00,,
2026-05-26,1499.00,,
2026-05-27,1499.00,,
2026-05-28,1499.00,,
2026-05-29,1499.00,,
2026-05-30,1499.00,,
2026-05-31,1499.00,,
2026-06-01,1499.00,,
2026-06-02,1499.00,,
2026-06-03,1499.00,,
2026-06-04,1499.00,,
2026-06-05,1499.00,,
2026-06-06,1499.00,,
2026-06-07,1499.00,,
2026-06-08,1499.00,,
2026-06-09,1499.00,,
2026-06-10,1499.00,,
2026-06-11,1499.00,,
2026-06-12,1499.00,,
2026-06-13,1499.00,,
2026-06-14,1499.00,,
2026-06-15,1499.00,,
2026-06-16,1499.00,,
2026-06-17,1499.00,,
2026-06-18,1499.00,,
2026-06-19,1499.00,,
2026-06-20,1499.00,,
2026-06-21,1499.00,,
2026-06-22,1499.00,,
2026-06-23,1499.00,,
2026-06-24,1499.00,,
2026-06-25,1499.00,,
2026-06-26,1499.00,,
2026-06-27,1499.00,,
