date,new_price_usd,used_price_usd,used_source
2026-05-09,599.00,,
2026-05-10,599.00,,
2026-05-11,599.00,,
2026-05-12,599.00,,
2026-05-13,599.00,,
2026-05-14,599.00,,
2026-05-15,599.00,,
2026-05-16,599.00,,
2026-05-17,599.00,,
2026-05-18,599.00,,
2026-05-19,599.00,,
2026-05-20,599.00,,
2026-05-21,599.00,,
2026-05-22,599.00,,
2026-05-23,599.00,,
2026-05-24,599.00,,
2026-05-25,599.00,,
2026-05-26,599.00,,
2026-05-27,599.00,,
2026-05-28,599.00,,
2026-05-29,599.00,,
2026-05-30,599.00,,
2026-05-31,599.00,,
2026-06-01,599.00,,
2026-06-02,599.00,,
2026-06-03,599.00,,
2026-06-04,599.00,,
2026-06-05,599.00,,
2026-06-06,599.00,,
2026-06-07,599.00,,
2026-06-08,599.00,,
2026-06-09,599.00,,
2026-06-10,599.00,,
2026-06-11,599.00,,
2026-06-12,599.00,,
2026-06-13,599.00,,
2026-06-14,599.00,,
2026-06-15,599.00,,
2026-06-16,599.00,,
2026-06-17,599.00,,
