date,new_price_usd,used_price_usd,used_source
2026-05-09,538.00,,
2026-05-10,538.00,,
2026-05-11,538.00,,
2026-05-12,538.00,,
2026-05-13,538.00,,
2026-05-14,538.00,,
2026-05-15,538.00,,
2026-05-16,538.00,,
2026-05-17,538.00,,
2026-05-18,538.00,,
2026-05-19,538.00,,
2026-05-20,538.00,,
2026-05-21,538.00,,
2026-05-22,538.00,,
2026-05-23,538.00,,
2026-05-24,538.00,,
2026-05-25,538.00,,
2026-05-26,538.00,,
2026-05-27,538.00,,
2026-05-28,538.00,,
2026-05-29,538.00,,
2026-05-30,538.00,,
2026-05-31,538.00,,
2026-06-01,538.00,,
2026-06-02,538.00,,
2026-06-03,538.00,,
2026-06-04,538.00,,
2026-06-05,538.00,,
2026-06-06,538.00,,
