date,new_price_usd,used_price_usd,used_source
2026-05-09,2250.00,,
2026-05-10,2250.00,,
2026-05-11,2250.00,,
2026-05-12,2250.00,,
2026-05-13,2250.00,,
2026-05-14,2250.00,,
2026-05-15,2250.00,,
2026-05-16,2250.00,,
2026-05-17,2250.00,,
2026-05-18,2250.00,,
2026-05-19,2250.00,,
2026-05-20,2250.00,,
2026-05-21,2250.00,,
2026-05-22,2250.00,,
2026-05-23,2250.00,,
2026-05-24,2250.00,,
2026-05-25,2250.00,,
2026-05-26,2250.00,,
2026-05-27,2250.00,,
2026-05-28,2250.00,,
2026-05-29,2250.00,,
2026-05-30,2250.00,,
2026-05-31,2250.00,,
2026-06-01,2250.00,,
2026-06-02,2250.00,,
2026-06-03,2250.00,,
2026-06-04,2250.00,,
2026-06-05,2250.00,,
2026-06-06,2250.00,,
2026-06-07,2250.00,,
2026-06-08,2250.00,,
