date,new_price_usd,used_price_usd,used_source
2026-05-09,1149.00,,
2026-05-10,1149.00,,
2026-05-11,1149.00,,
2026-05-12,1149.00,,
2026-05-13,1149.00,,
2026-05-14,1149.00,,
2026-05-15,1149.00,,
2026-05-16,1149.00,,
2026-05-17,1149.00,,
2026-05-18,1149.00,,
2026-05-19,1149.00,,
2026-05-20,1149.00,,
2026-05-21,1149.00,,
2026-05-22,1149.00,,
2026-05-23,1149.00,,
2026-05-24,1149.00,,
2026-05-25,1149.00,,
2026-05-26,1149.00,,
2026-05-27,1149.00,,
2026-05-28,1149.00,,
2026-05-29,1149.00,,
2026-05-30,1149.00,,
2026-05-31,1149.00,,
2026-06-01,1149.00,,
2026-06-02,1149.00,,
2026-06-03,1149.00,,
2026-06-04,1149.00,,
2026-06-05,1149.00,,
2026-06-06,1149.00,,
2026-06-07,1149.00,,
2026-06-08,1149.00,,
2026-06-09,1149.00,,
2026-06-10,1149.00,,
2026-06-11,1149.00,,
2026-06-12,1149.00,,
2026-06-13,1149.00,,
2026-06-14,1149.00,,
2026-06-15,1149.00,,
2026-06-16,1149.00,,
