date,new_price_usd,used_price_usd,used_source
2026-07-10,1149.00,,
2026-07-11,1149.00,,
2026-07-12,1149.00,,
2026-07-13,1149.00,,
2026-07-14,1149.00,,
2026-07-15,1149.00,,
2026-07-16,1149.00,,
2026-07-17,1149.00,,
2026-07-18,1149.00,,
2026-07-19,1149.00,,
2026-07-20,1149.00,,
2026-07-21,1149.00,,
2026-07-22,1149.00,,
2026-07-23,1149.00,,
2026-07-24,1149.00,,
2026-07-25,1149.00,,
2026-07-26,1149.00,,
2026-07-27,1149.00,,
2026-07-28,1149.00,,
2026-07-29,1149.00,,
2026-07-30,1149.00,,
2026-07-31,1149.00,,
2026-08-01,1149.00,,
2026-08-02,1149.00,,
2026-08-03,1149.00,,
2026-08-04,1149.00,,
2026-08-05,1149.00,,
2026-08-06,1149.00,,
2026-08-07,1149.00,,
2026-08-08,1149.00,,
2026-08-09,1149.00,,
2026-08-10,1149.00,,
2026-08-11,1149.00,,
2026-08-12,1149.00,,
2026-08-13,1149.00,,
2026-08-14,1149.00,,
2026-08-15,1149.00,,
2026-08-16,1149.00,,
2026-08-17,1149.00,,
2026-08-18,1149.00,,
2026-08-19,1149.00,,
2026-08-20,1149.00,,
2026-08-21,1149.00,,
2026-08-22,1149.00,,
2026-08-23,1149.00,,
2026-08-24,1149.00,,
2026-08-25,1149.00,,
2026-08-26,1149.00,,
2026-08-27,1090.00,,
2026-08-28,1090.00,,
2026-08-29,1090.00,,
2026-08-30,1090.00,,
2026-08-31,1090.00,,
2026-09-01,1149.00,,
2026-09-02,1149.00,,
2026-09-03,1149.00,,
2026-09-04,1149.00,,
