date,new_price_usd,used_price_usd,used_source
2026-05-09,5450.00,,
2026-05-10,5450.00,,
2026-05-11,5450.00,,
2026-05-12,5450.00,,
2026-05-13,5450.00,,
2026-05-14,5450.00,,
2026-05-15,5450.00,,
2026-05-16,5450.00,,
2026-05-17,5450.00,,
2026-05-18,5450.00,,
2026-05-19,5450.00,,
2026-05-20,5450.00,,
2026-05-21,5450.00,,
2026-05-22,5450.00,,
2026-05-23,5450.00,,
2026-05-24,5450.00,,
2026-05-25,5450.00,,
2026-05-26,5450.00,,
2026-05-27,5450.00,,
2026-05-28,5999.00,,
2026-05-29,5999.00,,
2026-05-30,5999.00,,
2026-05-31,5999.00,,
2026-06-01,5999.00,,
2026-06-02,5999.00,,
2026-06-03,5999.00,,
2026-06-04,5999.00,,
2026-06-05,5999.00,,
2026-06-06,5999.00,,
2026-06-07,5999.00,,
2026-06-08,5999.00,,
2026-06-09,5999.00,,
2026-06-10,5999.00,,
2026-06-11,5999.00,,
2026-06-12,5999.00,,
2026-06-13,5999.00,,
