date,new_price_usd,used_price_usd,used_source
2026-05-09,1199.00,,
2026-05-10,1199.00,,
2026-05-11,1199.00,,
2026-05-12,1199.00,,
2026-05-13,1199.00,,
2026-05-14,1199.00,,
2026-05-15,1199.00,,
2026-05-16,1199.00,,
2026-05-17,1199.00,,
2026-05-18,1199.00,,
2026-05-19,1199.00,,
2026-05-20,1199.00,,
2026-05-21,1199.00,,
2026-05-22,1199.00,,
2026-05-23,1199.00,,
2026-05-24,1199.00,,
2026-05-25,1199.00,,
2026-05-26,1199.00,,
2026-05-27,1199.00,,
2026-05-28,1199.00,,
2026-05-29,1199.00,,
2026-05-30,1199.00,,
2026-05-31,1199.00,,
2026-06-01,1199.00,,
2026-06-02,1199.00,,
2026-06-03,1199.00,,
2026-06-04,1199.00,,
2026-06-05,1199.00,,
2026-06-06,1199.00,,
2026-06-07,1199.00,,
2026-06-08,1199.00,,
2026-06-09,1199.00,,
2026-06-10,1199.00,,
2026-06-11,1199.00,,
2026-06-12,1199.00,,
2026-06-13,1199.00,,
2026-06-14,1199.00,,
2026-06-15,1199.00,,
2026-06-16,1199.00,,
2026-06-17,1199.00,,
2026-06-18,1199.00,,
2026-06-19,1199.00,,
2026-06-20,1199.00,,
2026-06-21,1199.00,,
2026-06-22,1199.00,,
2026-06-23,1199.00,,
2026-06-24,1199.00,,
2026-06-25,1199.00,,
2026-06-26,1199.00,,
2026-06-27,1199.00,,
2026-06-28,1199.00,,
2026-06-29,1199.00,,
2026-06-30,1199.00,,
2026-07-01,1199.00,,
2026-07-02,1199.00,,
2026-07-03,1199.00,,
2026-07-04,1199.00,,
2026-07-05,1199.00,,
2026-07-06,1199.00,,
2026-07-07,1199.00,,
2026-07-08,1199.00,,
2026-07-09,1199.00,,
2026-07-10,900.00,,
2026-07-11,900.00,,
2026-07-12,900.00,,
2026-07-13,900.00,,
2026-07-14,900.00,,
2026-07-15,900.00,,
2026-07-16,900.00,,
2026-07-17,900.00,,
2026-07-18,900.00,,
2026-07-19,900.00,,
2026-07-20,900.00,,
2026-07-21,900.00,,
2026-07-22,900.00,,
2026-07-23,900.00,,
2026-07-24,900.00,,
2026-07-25,900.00,,
2026-07-26,900.00,,
2026-07-27,900.00,,
2026-07-28,900.00,,
2026-07-29,900.00,,
2026-07-30,900.00,,
2026-07-31,900.00,,
2026-08-01,900.00,,
2026-08-02,900.00,,
2026-08-03,900.00,,
2026-08-04,900.00,,
2026-08-05,900.00,,
2026-08-06,900.00,,
2026-08-07,900.00,,
2026-08-08,900.00,,
2026-08-09,900.00,,
2026-08-10,900.00,,
2026-08-11,900.00,,
2026-08-12,900.00,,
2026-08-13,900.00,,
2026-08-14,900.00,,
2026-08-15,900.00,,
2026-08-16,900.00,,
2026-08-17,900.00,,
2026-08-18,900.00,,
2026-08-19,900.00,,
2026-08-20,900.00,,
2026-08-21,900.00,,
2026-08-22,900.00,,
2026-08-23,900.00,,
2026-08-24,900.00,,
2026-08-25,900.00,,
2026-08-26,900.00,,
2026-08-27,900.00,,
2026-08-28,900.00,,
2026-08-29,900.00,,
2026-08-30,900.00,,
2026-08-31,900.00,,
