date,new_price_usd,used_price_usd,used_source
2026-05-09,470.00,,
2026-05-10,470.00,,
2026-05-11,470.00,,
2026-05-12,470.00,,
2026-05-13,470.00,,
2026-05-14,470.00,,
2026-05-15,470.00,,
2026-05-16,470.00,,
2026-05-17,470.00,,
2026-05-18,470.00,,
2026-05-19,470.00,,
2026-05-20,470.00,,
2026-05-21,470.00,,
2026-05-22,470.00,,
2026-05-23,470.00,,
2026-05-24,470.00,,
2026-05-25,470.00,,
2026-05-26,470.00,,
2026-05-27,470.00,,
2026-05-28,470.00,,
2026-05-29,470.00,,
2026-05-30,470.00,,
2026-05-31,470.00,,
2026-06-01,470.00,,
2026-06-02,470.00,,
2026-06-03,470.00,,
2026-06-04,470.00,,
2026-06-05,470.00,,
2026-06-06,470.00,,
2026-06-07,470.00,,
2026-06-08,470.00,,
2026-06-09,470.00,,
2026-06-10,470.00,,
2026-06-11,470.00,,
2026-06-12,470.00,,
2026-06-13,470.00,,
2026-06-14,470.00,,
2026-06-15,470.00,,
2026-06-16,470.00,,
2026-06-17,470.00,,
2026-06-18,470.00,,
2026-06-19,470.00,,
2026-06-20,470.00,,
2026-06-21,470.00,,
2026-06-22,470.00,,
2026-06-23,470.00,,
2026-06-24,470.00,,
2026-06-25,470.00,,
2026-06-26,470.00,,
2026-06-27,470.00,,
2026-06-28,470.00,,
2026-06-29,470.00,,
2026-06-30,470.00,,
2026-07-01,470.00,,
2026-07-02,470.00,,
2026-07-03,470.00,,
2026-07-04,470.00,,
2026-07-05,470.00,,
2026-07-06,470.00,,
2026-07-07,470.00,,
2026-07-08,470.00,,
2026-07-09,470.00,,
2026-07-10,470.00,,
2026-07-11,470.00,,
2026-07-12,470.00,,
2026-07-13,470.00,,
2026-07-14,470.00,,
2026-07-15,470.00,,
2026-07-16,470.00,,
2026-07-17,470.00,,
2026-07-18,470.00,,
2026-07-19,470.00,,
2026-07-20,470.00,,
2026-07-21,470.00,,
2026-07-22,470.00,,
2026-07-23,470.00,,
2026-07-24,470.00,,
2026-07-25,470.00,,
2026-07-26,470.00,,
2026-07-27,470.00,,
2026-07-28,470.00,,
2026-07-29,470.00,,
2026-07-30,470.00,,
2026-07-31,470.00,,
2026-08-01,470.00,,
2026-08-02,470.00,,
2026-08-03,470.00,,
2026-08-04,470.00,,
2026-08-05,470.00,,
2026-08-06,470.00,,
2026-08-07,470.00,,
2026-08-08,470.00,,
2026-08-09,470.00,,
2026-08-10,470.00,,
2026-08-11,470.00,,
2026-08-12,470.00,,
2026-08-13,470.00,,
2026-08-14,470.00,,
2026-08-15,470.00,,
2026-08-16,470.00,,
2026-08-17,470.00,,
2026-08-18,470.00,,
2026-08-19,470.00,,
2026-08-20,470.00,,
2026-08-21,470.00,,
2026-08-22,470.00,,
2026-08-23,470.00,,
2026-08-24,470.00,,
2026-08-25,470.00,,
2026-08-26,470.00,,
2026-08-27,470.00,,
2026-08-28,470.00,,
2026-08-29,470.00,,
2026-08-30,470.00,,
2026-08-31,470.00,,
2026-09-01,470.00,,
2026-09-02,470.00,,
