date,new_price_usd,used_price_usd,used_source
2026-05-09,500.00,,
2026-05-10,500.00,,
2026-05-11,500.00,,
2026-05-12,500.00,,
2026-05-13,500.00,,
2026-05-14,500.00,,
2026-05-15,500.00,,
2026-05-16,500.00,,
2026-05-17,500.00,,
2026-05-18,500.00,,
2026-05-19,500.00,,
2026-05-20,500.00,,
2026-05-21,500.00,,
2026-05-22,500.00,,
2026-05-23,500.00,,
2026-05-24,500.00,,
2026-05-25,500.00,,
2026-05-26,500.00,,
2026-05-27,500.00,,
2026-05-28,500.00,,
2026-05-29,500.00,,
2026-05-30,500.00,,
2026-05-31,500.00,,
2026-06-01,500.00,,
2026-06-02,500.00,,
2026-06-03,500.00,,
2026-06-04,500.00,,
2026-06-05,500.00,,
2026-06-06,500.00,,
2026-06-07,500.00,,
2026-06-08,500.00,,
2026-06-09,500.00,,
2026-06-10,500.00,,
2026-06-11,500.00,,
2026-06-12,500.00,,
2026-06-13,500.00,,
2026-06-14,500.00,,
2026-06-15,500.00,,
2026-06-16,500.00,,
2026-06-17,500.00,,
2026-06-18,500.00,,
2026-06-19,500.00,,
2026-06-20,500.00,,
2026-06-21,500.00,,
2026-06-22,500.00,,
2026-06-23,500.00,,
2026-06-24,500.00,,
2026-06-25,500.00,,
2026-06-26,500.00,,
2026-06-27,500.00,,
2026-06-28,500.00,,
2026-06-29,500.00,,
2026-06-30,500.00,,
2026-07-01,500.00,,
2026-07-02,500.00,,
2026-07-03,500.00,,
2026-07-04,500.00,,
2026-07-05,500.00,,
2026-07-06,500.00,,
2026-07-07,500.00,,
2026-07-08,500.00,,
2026-07-09,500.00,,
2026-07-10,500.00,,
2026-07-11,500.00,,
