date,new_price_usd,used_price_usd,used_source
2026-05-09,680.00,,
2026-05-10,680.00,,
2026-05-11,680.00,,
2026-05-12,680.00,,
2026-05-13,680.00,,
2026-05-14,680.00,,
2026-05-15,680.00,,
2026-05-16,680.00,,
2026-05-17,680.00,,
2026-05-18,680.00,,
2026-05-19,680.00,,
2026-05-20,680.00,,
2026-05-21,680.00,,
2026-05-22,680.00,,
2026-05-23,680.00,,
2026-05-24,680.00,,
2026-05-25,680.00,,
2026-05-26,680.00,,
2026-05-27,680.00,,
2026-05-28,680.00,,
2026-05-29,680.00,,
2026-05-30,680.00,,
2026-05-31,680.00,,
2026-06-01,680.00,,
2026-06-02,680.00,,
2026-06-03,680.00,,
2026-06-04,680.00,,
2026-06-05,680.00,,
2026-06-06,680.00,,
2026-06-07,680.00,,
2026-06-08,680.00,,
2026-06-09,680.00,,
2026-06-10,680.00,,
2026-06-11,680.00,,
2026-06-12,680.00,,
2026-06-13,680.00,,
2026-06-14,680.00,,
2026-06-15,680.00,,
2026-06-16,680.00,,
2026-06-17,680.00,,
2026-06-18,680.00,,
2026-06-19,680.00,,
2026-06-20,680.00,,
2026-06-21,680.00,,
2026-06-22,680.00,,
2026-06-23,680.00,,
2026-06-24,680.00,,
2026-06-25,680.00,,
2026-06-26,680.00,,
2026-06-27,680.00,,
2026-06-28,680.00,,
2026-06-29,680.00,,
2026-06-30,680.00,,
2026-07-01,680.00,,
2026-07-02,680.00,,
2026-07-03,680.00,,
2026-07-04,680.00,,
2026-07-05,680.00,,
2026-07-06,680.00,,
2026-07-07,680.00,,
2026-07-08,680.00,,
2026-07-09,680.00,,
2026-07-10,680.00,,
2026-07-11,680.00,,
2026-07-12,680.00,,
2026-07-13,680.00,,
2026-07-14,680.00,,
2026-07-15,680.00,,
2026-07-16,680.00,,
2026-07-17,680.00,,
2026-07-18,680.00,,
2026-07-19,680.00,,
