date,new_price_usd,used_price_usd,used_source
2026-05-29,1590.00,,
2026-05-30,1590.00,,
2026-05-31,1590.00,,
2026-06-01,1590.00,,
2026-06-02,1590.00,,
2026-06-03,1590.00,,
2026-06-04,1590.00,,
2026-06-08,1590.00,,
2026-06-09,1590.00,,
2026-06-10,1590.00,,
2026-06-11,1590.00,,
2026-06-12,1590.00,,
2026-06-13,1590.00,,
2026-06-14,1590.00,,
2026-06-15,1590.00,,
2026-06-16,1190.00,,
2026-06-17,1190.00,,
2026-06-18,1190.00,,
2026-06-19,1190.00,,
2026-06-20,1190.00,,
2026-06-21,1190.00,,
2026-06-22,1190.00,,
2026-06-23,1190.00,,
2026-06-24,1190.00,,
2026-06-25,1190.00,,
2026-06-26,1190.00,,
2026-06-27,1190.00,,
2026-06-28,1190.00,,
2026-06-29,1190.00,,
2026-06-30,1190.00,,
2026-07-01,1190.00,,
2026-07-02,1190.00,,
2026-07-03,1190.00,,
2026-07-04,1190.00,,
2026-07-05,1190.00,,
2026-07-06,1190.00,,
2026-07-07,1190.00,,
2026-07-08,1190.00,,
2026-07-09,1190.00,,
2026-07-10,1190.00,,
2026-07-11,1190.00,,
2026-07-12,1190.00,,
2026-07-13,1190.00,,
2026-07-14,1190.00,,
2026-07-15,1190.00,,
2026-07-16,1190.00,,
2026-07-17,1190.00,,
