date,new_price_usd,used_price_usd,used_source
2026-05-09,2980.00,,
2026-05-10,2980.00,,
2026-05-11,2980.00,,
2026-05-12,2980.00,,
2026-05-13,2980.00,,
2026-05-14,2980.00,,
2026-05-15,2980.00,,
2026-05-16,2980.00,,
2026-05-17,2980.00,,
2026-05-18,2980.00,,
2026-05-19,2980.00,,
2026-05-20,2980.00,,
2026-05-21,2980.00,,
2026-05-22,2980.00,,
2026-05-23,2980.00,,
2026-05-24,2980.00,,
2026-05-25,2980.00,,
2026-05-26,2980.00,,
2026-05-27,2980.00,,
2026-05-28,2980.00,,
2026-05-29,2980.00,,
2026-05-30,2980.00,,
2026-05-31,2980.00,,
2026-06-01,2980.00,,
2026-06-02,2980.00,,
2026-06-03,2980.00,,
2026-06-04,2980.00,,
2026-06-05,2980.00,,
2026-06-06,2980.00,,
2026-06-07,2980.00,,
2026-06-08,2980.00,,
2026-06-09,2980.00,,
2026-06-10,2980.00,,
2026-06-11,2980.00,,
2026-06-12,2980.00,,
2026-06-13,2980.00,,
2026-06-14,2980.00,,
2026-06-15,2980.00,,
