date,new_price_usd,used_price_usd,used_source
2026-05-09,2899.00,,
2026-05-10,2899.00,,
2026-05-11,2899.00,,
2026-05-12,2899.00,,
2026-05-13,2899.00,,
2026-05-14,2899.00,,
2026-05-15,2899.00,,
2026-05-16,2899.00,,
2026-05-17,2899.00,,
2026-05-18,2899.00,,
2026-05-19,2899.00,,
2026-05-20,2899.00,,
2026-05-21,2899.00,,
2026-05-22,2899.00,,
2026-05-23,2899.00,,
2026-05-24,2899.00,,
2026-05-25,2899.00,,
2026-05-26,2899.00,,
2026-05-27,2899.00,,
2026-05-28,2899.00,,
2026-05-29,2899.00,,
