date,new_price_usd,used_price_usd,used_source
2026-05-09,3699.00,,
2026-05-10,3699.00,,
2026-05-11,3699.00,,
2026-05-12,3699.00,,
2026-05-13,3699.00,,
2026-05-14,3699.00,,
2026-05-15,3699.00,,
2026-05-16,3699.00,,
2026-05-17,3699.00,,
2026-05-18,3699.00,,
2026-05-19,3699.00,,
2026-05-20,3699.00,,
2026-05-21,3699.00,,
2026-05-22,3699.00,,
2026-05-23,3699.00,,
2026-05-24,3699.00,,
2026-05-25,3699.00,,
2026-05-26,3699.00,,
2026-05-27,3699.00,,
2026-05-28,3699.00,,
2026-05-29,3699.00,,
2026-05-30,3699.00,,
2026-05-31,3699.00,,
2026-06-01,3699.00,,
2026-06-02,3699.00,,
2026-06-03,3699.00,,
2026-06-04,3699.00,,
2026-06-05,3699.00,,
2026-06-06,3699.00,,
2026-06-07,3699.00,,
2026-06-08,3699.00,,
2026-06-09,3699.00,,
2026-06-10,3699.00,,
2026-06-11,3699.00,,
2026-06-12,3699.00,,
2026-06-13,3699.00,,
2026-06-14,3699.00,,
2026-06-15,3699.00,,
2026-06-16,3699.00,,
2026-06-17,3699.00,,
2026-06-18,3699.00,,
2026-06-19,3699.00,,
2026-06-20,3699.00,,
2026-06-21,3699.00,,
2026-06-22,3699.00,,
2026-06-23,3699.00,,
2026-06-24,3699.00,,
2026-06-25,3699.00,,
2026-06-26,3699.00,,
2026-06-27,3699.00,,
2026-06-28,3699.00,,
2026-06-29,3699.00,,
2026-06-30,3699.00,,
2026-07-01,3699.00,,
2026-07-02,3699.00,,
2026-07-03,3699.00,,
2026-07-04,3699.00,,
2026-07-05,3699.00,,
2026-07-06,3699.00,,
2026-07-07,3699.00,,
2026-07-08,3699.00,,
2026-07-09,3699.00,,
2026-07-10,3699.00,,
2026-07-11,3699.00,,
2026-07-12,3699.00,,
2026-07-13,3699.00,,
2026-07-14,3699.00,,
2026-07-15,3699.00,,
2026-07-16,3699.00,,
2026-07-17,3699.00,,
2026-07-18,3699.00,,
2026-07-19,3699.00,,
2026-07-20,3699.00,,
2026-07-21,3699.00,,
2026-07-22,3699.00,,
2026-07-23,3699.00,,
2026-07-24,3699.00,,
2026-07-25,3699.00,,
2026-07-26,3699.00,,
2026-07-27,3699.00,,
2026-07-28,3699.00,,
2026-07-29,3699.00,,
2026-07-30,3699.00,,
2026-07-31,3699.00,,
2026-08-01,3699.00,,
2026-08-02,3699.00,,
2026-08-03,3699.00,,
2026-08-04,3699.00,,
2026-08-05,3699.00,,
2026-08-06,3699.00,,
2026-08-07,3699.00,,
2026-08-08,3699.00,,
2026-08-09,3699.00,,
2026-08-10,3699.00,,
2026-08-11,3699.00,,
2026-08-12,3699.00,,
2026-08-13,3699.00,,
2026-08-14,3699.00,,
2026-08-15,3699.00,,
2026-08-16,3699.00,,
2026-08-17,3699.00,,
2026-08-18,3699.00,,
2026-08-19,3699.00,,
2026-08-20,3699.00,,
2026-08-21,3699.00,,
2026-08-22,3699.00,,
2026-08-23,3699.00,,
2026-08-24,3699.00,,
2026-08-25,3699.00,,
2026-08-26,3699.00,,
2026-08-27,3699.00,,
2026-08-28,3699.00,,
2026-08-29,3699.00,,
2026-08-30,3699.00,,
2026-08-31,3699.00,,
2026-09-01,3699.00,,
