date,new_price_usd,used_price_usd,used_source
2026-05-09,399.00,,
2026-05-10,399.00,,
2026-05-11,399.00,,
2026-05-12,399.00,,
2026-05-13,399.00,,
2026-05-14,399.00,,
2026-05-15,399.00,,
2026-05-16,399.00,,
2026-05-17,399.00,,
2026-05-18,399.00,,
2026-05-19,399.00,,
2026-05-20,399.00,,
2026-05-21,399.00,,
2026-05-22,399.00,,
2026-05-23,399.00,,
2026-05-24,399.00,,
2026-05-25,399.00,,
2026-05-26,399.00,,
2026-05-27,399.00,,
2026-05-28,399.00,,
2026-05-29,399.00,,
2026-05-30,399.00,,
2026-05-31,399.00,,
2026-06-01,399.00,,
2026-06-02,399.00,,
2026-06-03,399.00,,
2026-06-04,399.00,,
2026-06-05,399.00,,
2026-06-06,399.00,,
2026-06-07,399.00,,
2026-06-08,399.00,,
2026-06-09,399.00,,
2026-06-10,399.00,,
2026-06-11,399.00,,
2026-06-12,399.00,,
2026-06-13,399.00,,
2026-06-14,399.00,,
2026-06-15,399.00,,
2026-06-16,399.00,,
