date,new_price_usd,used_price_usd,used_source
2026-05-09,899.00,,
2026-05-10,899.00,,
2026-05-11,899.00,,
2026-05-12,899.00,,
2026-05-13,899.00,,
2026-05-14,899.00,,
2026-05-15,899.00,,
2026-05-16,899.00,,
2026-05-17,899.00,,
2026-05-18,899.00,,
2026-05-19,899.00,,
2026-05-20,899.00,,
2026-05-21,899.00,,
2026-05-22,899.00,,
2026-05-23,899.00,,
2026-05-24,899.00,,
2026-05-25,899.00,,
2026-05-26,899.00,,
2026-05-27,899.00,,
2026-05-28,899.00,,
2026-05-29,899.00,,
2026-05-30,899.00,,
2026-05-31,899.00,,
2026-06-01,899.00,,
2026-06-02,899.00,,
2026-06-03,899.00,,
2026-06-04,899.00,,
2026-06-05,899.00,,
2026-06-06,899.00,,
