date,new_price_usd,used_price_usd,used_source
2026-05-09,960.00,,
2026-05-10,960.00,,
2026-05-11,960.00,,
2026-05-12,960.00,,
2026-05-13,960.00,,
2026-05-14,960.00,,
2026-05-15,960.00,,
2026-05-16,960.00,,
2026-05-17,960.00,,
2026-05-18,960.00,,
2026-05-19,960.00,,
2026-05-20,960.00,,
2026-05-21,960.00,,
2026-05-22,960.00,,
2026-05-23,960.00,,
2026-05-24,960.00,,
2026-05-25,960.00,,
2026-05-26,960.00,,
2026-05-27,960.00,,
2026-05-28,960.00,,
2026-05-29,960.00,,
2026-05-30,960.00,,
2026-05-31,960.00,,
2026-06-01,960.00,,
2026-06-02,960.00,,
2026-06-03,960.00,,
2026-06-04,960.00,,
2026-06-05,960.00,,
2026-06-06,960.00,,
2026-06-07,960.00,,
2026-06-08,960.00,,
2026-06-09,960.00,,
2026-06-10,960.00,,
2026-06-11,960.00,,
2026-06-12,960.00,,
2026-06-13,960.00,,
2026-06-14,960.00,,
2026-06-15,960.00,,
2026-06-16,960.00,,
2026-06-17,960.00,,
2026-06-18,960.00,,
2026-06-19,960.00,,
2026-06-20,960.00,,
2026-06-21,960.00,,
2026-06-22,960.00,,
