date,new_price_usd,used_price_usd,used_source
2026-05-09,630.00,,
2026-05-10,630.00,,
2026-05-11,630.00,,
2026-05-12,630.00,,
2026-05-13,630.00,,
2026-05-14,630.00,,
2026-05-15,630.00,,
2026-05-16,630.00,,
2026-05-17,630.00,,
2026-05-18,630.00,,
2026-05-19,630.00,,
2026-05-20,630.00,,
2026-05-21,630.00,,
2026-05-22,630.00,,
2026-05-23,630.00,,
2026-05-24,630.00,,
2026-05-25,630.00,,
2026-05-26,630.00,,
2026-05-27,630.00,,
2026-05-28,630.00,,
2026-05-29,630.00,,
2026-05-30,630.00,,
2026-05-31,630.00,,
2026-06-01,630.00,,
2026-06-02,630.00,,
2026-06-03,630.00,,
2026-06-04,630.00,,
2026-06-05,630.00,,
2026-06-06,630.00,,
2026-06-07,630.00,,
2026-06-08,630.00,,
2026-06-09,630.00,,
2026-06-10,630.00,,
2026-06-11,630.00,,
2026-06-12,630.00,,
2026-06-13,630.00,,
2026-06-14,630.00,,
2026-06-15,630.00,,
2026-06-16,630.00,,
2026-06-17,630.00,,
2026-06-18,630.00,,
2026-06-19,630.00,,
2026-06-20,630.00,,
2026-06-21,630.00,,
2026-06-22,630.00,,
2026-06-23,630.00,,
2026-06-24,630.00,,
2026-06-25,630.00,,
2026-06-26,630.00,,
2026-06-27,630.00,,
2026-06-28,630.00,,
2026-06-29,630.00,,
2026-06-30,630.00,,
2026-07-01,630.00,,
2026-07-02,630.00,,
2026-07-03,630.00,,
2026-07-04,630.00,,
2026-07-05,630.00,,
2026-07-06,630.00,,
