date,new_price_usd,used_price_usd,used_source
2026-05-09,11200.00,,
2026-05-10,11200.00,,
2026-05-11,11200.00,,
2026-05-12,11200.00,,
2026-05-13,11200.00,,
2026-05-14,11200.00,,
2026-05-15,11200.00,,
2026-05-16,11200.00,,
2026-05-17,11200.00,,
2026-05-18,11200.00,,
2026-05-19,11200.00,,
2026-05-20,11200.00,,
2026-05-21,11200.00,,
2026-05-22,11200.00,,
2026-05-23,11200.00,,
2026-05-24,11200.00,,
2026-05-25,11200.00,,
2026-05-26,11200.00,,
2026-05-27,11200.00,,
2026-05-28,11200.00,,
2026-05-29,11200.00,,
2026-05-30,11200.00,,
2026-05-31,11200.00,,
2026-06-01,11200.00,,
2026-06-02,11200.00,,
2026-06-03,11200.00,,
2026-06-04,11200.00,,
2026-06-05,11200.00,,
2026-06-06,11200.00,,
2026-06-07,11200.00,,
2026-06-08,11200.00,,
2026-06-09,11200.00,,
2026-06-10,11200.00,,
2026-06-11,11200.00,,
2026-06-12,11200.00,,
2026-06-13,11200.00,,
2026-06-14,11200.00,,
2026-06-15,11200.00,,
