date,new_price_usd,used_price_usd,used_source
2026-05-09,7799.00,,
2026-05-10,7799.00,,
2026-05-11,7799.00,,
2026-05-12,7799.00,,
2026-05-13,7799.00,,
2026-05-14,7799.00,,
2026-05-15,7799.00,,
2026-05-16,7799.00,,
2026-05-17,7799.00,,
2026-05-18,7799.00,,
2026-05-19,7799.00,,
2026-05-20,7799.00,,
2026-05-21,7799.00,,
2026-05-22,7799.00,,
2026-05-23,7799.00,,
2026-05-24,7799.00,,
2026-05-25,7799.00,,
2026-05-26,7799.00,,
2026-05-27,7799.00,,
2026-05-28,7799.00,,
2026-05-29,7799.00,,
2026-05-30,7799.00,,
2026-05-31,7799.00,,
2026-06-01,7799.00,,
2026-06-02,7799.00,,
2026-06-03,7799.00,,
2026-06-04,7799.00,,
2026-06-05,7799.00,,
2026-06-06,7799.00,,
2026-06-07,7799.00,,
2026-06-08,7799.00,,
2026-06-09,7799.00,,
2026-06-10,7799.00,,
2026-06-11,7799.00,,
2026-06-12,7799.00,,
2026-06-13,7799.00,,
2026-06-14,7799.00,,
2026-06-15,7799.00,,
