date,new_price_usd,used_price_usd,used_source
2026-07-10,3100.00,,
2026-07-11,3100.00,,
2026-07-12,3100.00,,
2026-07-13,3100.00,,
2026-07-14,3100.00,,
2026-07-15,3100.00,,
2026-07-16,3100.00,,
2026-07-17,3100.00,,
2026-07-18,3100.00,,
2026-07-19,3100.00,,
2026-07-20,3100.00,,
2026-07-21,3100.00,,
2026-07-22,3100.00,,
2026-07-23,3100.00,,
2026-07-24,3100.00,,
2026-07-25,3100.00,,
2026-07-26,3100.00,,
2026-07-27,3100.00,,
2026-07-28,3100.00,,
2026-07-29,3100.00,,
2026-07-30,3100.00,,
2026-07-31,3100.00,,
2026-08-01,3100.00,,
2026-08-02,3100.00,,
2026-08-03,3100.00,,
2026-08-04,3100.00,,
2026-08-05,3100.00,,
2026-08-06,3100.00,,
2026-08-07,3100.00,,
2026-08-08,3100.00,,
2026-08-09,3100.00,,
2026-08-10,3100.00,,
2026-08-11,3100.00,,
2026-08-12,3100.00,,
2026-08-13,3100.00,,
2026-08-14,3100.00,,
2026-08-15,3100.00,,
2026-08-16,3100.00,,
2026-08-17,3100.00,,
2026-08-18,3100.00,,
2026-08-19,3100.00,,
2026-08-20,3100.00,,
2026-08-21,3100.00,,
2026-08-22,3100.00,,
2026-08-23,3100.00,,
2026-08-24,3100.00,,
2026-08-25,3100.00,,
2026-08-26,3100.00,,
2026-08-27,3100.00,,
2026-08-28,3100.00,,
2026-08-29,3100.00,,
2026-08-30,3100.00,,
2026-08-31,3100.00,,
2026-09-01,3100.00,,
2026-09-02,3100.00,,
2026-09-03,3100.00,,
2026-09-04,3100.00,,
