date,new_price_usd,used_price_usd,used_source
2026-05-09,8400.00,,
2026-05-10,8400.00,,
2026-05-11,8400.00,,
2026-05-12,8400.00,,
2026-05-13,8400.00,,
2026-05-14,8400.00,,
2026-05-15,8400.00,,
2026-05-16,8400.00,,
2026-05-17,8400.00,,
2026-05-18,8400.00,,
2026-05-19,8400.00,,
2026-05-20,8400.00,,
2026-05-21,8400.00,,
2026-05-22,8400.00,,
2026-05-23,8400.00,,
2026-05-24,8400.00,,
2026-05-25,8400.00,,
2026-05-26,8400.00,,
2026-05-27,8400.00,,
2026-05-28,8400.00,,
2026-05-29,8400.00,,
2026-05-30,8400.00,,
