date,new_price_usd,used_price_usd,used_source
2026-05-09,18450.00,,
2026-05-10,18450.00,,
2026-05-11,18450.00,,
2026-05-12,18450.00,,
2026-05-13,18450.00,,
2026-05-14,18450.00,,
2026-05-15,18450.00,,
2026-05-16,18450.00,,
2026-05-17,18450.00,,
2026-05-18,18450.00,,
2026-05-19,18450.00,,
2026-05-20,18450.00,,
2026-05-21,18450.00,,
2026-05-22,18450.00,,
2026-05-23,18450.00,,
2026-05-24,18450.00,,
2026-05-25,18450.00,,
2026-05-26,18450.00,,
2026-05-27,18450.00,,
2026-05-28,18450.00,,
2026-05-29,18450.00,,
