date,new_price_usd,used_price_usd,used_source
2026-05-09,279.00,,
2026-05-10,279.00,,
2026-05-11,279.00,,
2026-05-12,279.00,,
2026-05-13,279.00,,
2026-05-14,279.00,,
2026-05-15,279.00,,
2026-05-16,279.00,,
2026-05-17,279.00,,
2026-05-18,279.00,,
2026-05-19,279.00,,
2026-05-20,279.00,,
2026-05-21,279.00,,
2026-05-22,279.00,,
2026-05-23,279.00,,
2026-05-24,279.00,,
2026-05-25,279.00,,
2026-05-26,279.00,,
2026-05-27,279.00,,
2026-05-28,279.00,,
2026-05-29,279.00,,
2026-05-30,279.00,,
2026-05-31,279.00,,
2026-06-01,279.00,,
2026-06-02,279.00,,
2026-06-03,279.00,,
2026-06-04,279.00,,
2026-06-05,279.00,,
2026-06-06,279.00,,
2026-06-07,279.00,,
2026-06-08,279.00,,
2026-06-09,279.00,,
2026-06-10,279.00,,
2026-06-11,279.00,,
2026-06-12,279.00,,
2026-06-13,279.00,,
2026-06-14,279.00,,
2026-06-15,279.00,,
2026-06-16,279.00,,
2026-06-17,279.00,,
2026-06-18,279.00,,
2026-06-19,279.00,,
2026-06-20,279.00,,
2026-06-21,279.00,,
2026-06-22,279.00,,
2026-06-23,279.00,,
2026-06-24,279.00,,
2026-06-25,279.00,,
2026-06-26,279.00,,
2026-06-27,279.00,,
2026-06-28,279.00,,
2026-06-29,279.00,,
2026-06-30,279.00,,
2026-07-01,279.00,,
2026-07-02,279.00,,
2026-07-03,279.00,,
