date,new_price_usd,used_price_usd,used_source
2026-05-12,339.00,,
2026-05-13,339.00,,
2026-05-14,339.00,,
2026-05-15,339.00,,
2026-05-16,339.00,,
2026-05-17,339.00,,
2026-05-18,339.00,,
2026-05-19,339.00,,
2026-05-20,339.00,,
2026-05-21,339.00,,
2026-05-22,339.00,,
2026-05-23,339.00,,
2026-05-24,339.00,,
2026-05-25,339.00,,
2026-05-26,339.00,,
2026-05-27,339.00,,
2026-05-28,339.00,,
2026-05-29,339.00,,
2026-05-30,339.00,,
2026-05-31,339.00,,
2026-06-01,339.00,,
2026-06-02,339.00,,
2026-06-03,339.00,,
2026-06-04,339.00,,
2026-06-05,339.00,,
2026-06-06,339.00,,
2026-06-07,339.00,,
2026-06-08,339.00,,
2026-06-09,339.00,,
2026-06-10,339.00,,
2026-06-11,339.00,,
2026-06-12,339.00,,
2026-06-13,339.00,,
2026-06-14,339.00,,
2026-06-15,339.00,,
2026-06-16,339.00,,
2026-06-17,339.00,,
2026-06-18,339.00,,
2026-06-19,339.00,,
2026-06-20,339.00,,
2026-06-21,339.00,,
2026-06-22,339.00,,
2026-06-23,339.00,,
