date,new_price_usd,used_price_usd,used_source
2026-07-10,360.00,,
2026-07-11,360.00,,
2026-07-12,360.00,,
2026-07-13,360.00,,
2026-07-14,360.00,,
2026-07-15,360.00,,
2026-07-16,360.00,,
2026-07-17,360.00,,
2026-07-18,360.00,,
2026-07-19,360.00,,
2026-07-20,360.00,,
2026-07-21,360.00,,
2026-07-22,360.00,,
2026-07-23,360.00,,
2026-07-24,360.00,,
2026-07-25,360.00,,
2026-07-26,360.00,,
2026-07-27,360.00,,
2026-07-28,360.00,,
2026-07-29,360.00,,
2026-07-30,360.00,,
2026-07-31,360.00,,
2026-08-01,360.00,,
2026-08-02,360.00,,
2026-08-03,360.00,,
2026-08-04,360.00,,
2026-08-05,360.00,,
2026-08-06,360.00,,
2026-08-07,360.00,,
2026-08-08,360.00,,
2026-08-09,360.00,,
2026-08-10,360.00,,
2026-08-11,360.00,,
2026-08-12,360.00,,
2026-08-13,360.00,,
2026-08-14,360.00,,
2026-08-15,360.00,,
2026-08-16,360.00,,
2026-08-17,360.00,,
2026-08-18,360.00,,
2026-08-19,360.00,,
2026-08-20,360.00,,
2026-08-21,360.00,,
2026-08-22,360.00,,
2026-08-23,360.00,,
2026-08-24,360.00,,
2026-08-25,360.00,,
2026-08-26,360.00,,
2026-08-27,360.00,,
2026-08-28,360.00,,
2026-08-29,360.00,,
2026-08-30,360.00,,
