date,new_price_usd,used_price_usd,used_source
2026-05-09,290.00,,
2026-05-10,290.00,,
2026-05-11,290.00,,
2026-05-12,290.00,,
2026-05-13,290.00,,
2026-05-14,290.00,,
2026-05-15,290.00,,
2026-05-16,290.00,,
2026-05-17,290.00,,
2026-05-18,290.00,,
2026-05-19,290.00,,
2026-05-20,290.00,,
2026-05-21,290.00,,
2026-05-22,290.00,,
2026-05-23,290.00,,
2026-05-24,290.00,,
2026-05-25,290.00,,
2026-05-26,290.00,,
2026-05-27,290.00,,
2026-05-28,290.00,,
2026-05-29,290.00,,
2026-05-30,290.00,,
2026-05-31,290.00,,
2026-06-01,290.00,,
2026-06-02,290.00,,
2026-06-03,290.00,,
2026-06-04,290.00,,
2026-06-05,290.00,,
2026-06-06,290.00,,
2026-06-07,290.00,,
2026-06-08,290.00,,
2026-06-09,290.00,,
2026-06-10,290.00,,
2026-06-11,290.00,,
2026-06-12,290.00,,
2026-06-13,290.00,,
2026-06-14,290.00,,
2026-06-15,290.00,,
