date,new_price_usd,used_price_usd,used_source
2026-05-09,219.00,,
2026-05-10,219.00,,
2026-05-11,219.00,,
2026-05-12,219.00,,
2026-05-13,219.00,,
2026-05-14,219.00,,
2026-05-15,219.00,,
2026-05-16,219.00,,
2026-05-17,219.00,,
2026-05-18,219.00,,
2026-05-19,219.00,,
2026-05-20,219.00,,
2026-05-21,219.00,,
2026-05-22,219.00,,
2026-05-23,219.00,,
2026-05-24,219.00,,
2026-05-25,219.00,,
2026-05-26,219.00,,
2026-05-27,219.00,,
2026-05-28,219.00,,
2026-05-29,219.00,,
2026-05-30,219.00,,
2026-05-31,219.00,,
2026-06-01,219.00,,
2026-06-02,219.00,,
2026-06-03,219.00,,
2026-06-04,219.00,,
2026-06-05,219.00,,
2026-06-06,219.00,,
2026-06-07,219.00,,
2026-06-08,219.00,,
2026-06-09,219.00,,
2026-06-10,219.00,,
2026-06-11,219.00,,
2026-06-12,219.00,,
2026-06-13,219.00,,
2026-06-14,219.00,,
2026-06-15,219.00,,
2026-06-16,219.00,,
2026-06-17,219.00,,
2026-06-18,219.00,,
2026-06-19,219.00,,
2026-06-20,219.00,,
2026-06-21,219.00,,
2026-06-22,219.00,,
2026-06-23,219.00,,
2026-06-24,219.00,,
2026-06-25,219.00,,
2026-06-26,219.00,,
2026-06-27,219.00,,
2026-06-28,219.00,,
2026-06-29,219.00,,
2026-06-30,219.00,,
2026-07-01,219.00,,
2026-07-02,219.00,,
2026-07-03,219.00,,
2026-07-04,219.00,,
2026-07-05,219.00,,
