date,new_price_usd,used_price_usd,used_source
2026-05-12,190.00,,
2026-05-13,190.00,,
2026-05-14,190.00,,
2026-05-15,190.00,,
2026-05-16,190.00,,
2026-05-17,190.00,,
2026-05-18,190.00,,
2026-05-19,190.00,,
2026-05-20,190.00,,
2026-05-21,190.00,,
2026-05-22,190.00,,
2026-05-23,190.00,,
2026-05-24,190.00,,
2026-05-25,190.00,,
2026-05-26,190.00,,
2026-05-27,190.00,,
2026-05-28,190.00,,
2026-05-29,190.00,,
2026-05-30,190.00,,
2026-05-31,190.00,,
2026-06-01,190.00,,
2026-06-02,190.00,,
2026-06-03,190.00,,
2026-06-04,190.00,,
2026-06-05,190.00,,
