date,new_price_usd,used_price_usd,used_source
2026-05-09,50.00,,
2026-05-10,50.00,,
2026-05-11,50.00,,
2026-05-12,50.00,,
2026-05-13,50.00,,
2026-05-14,50.00,,
2026-05-15,50.00,,
2026-05-16,50.00,,
2026-05-17,50.00,,
2026-05-18,50.00,,
2026-05-19,50.00,,
2026-05-20,50.00,,
2026-05-21,50.00,,
2026-05-22,50.00,,
2026-05-23,50.00,,
2026-05-24,50.00,,
2026-05-25,50.00,,
2026-05-26,50.00,,
2026-05-27,50.00,,
2026-05-28,50.00,,
2026-05-29,50.00,,
2026-05-30,50.00,,
2026-05-31,50.00,,
2026-06-01,50.00,,
2026-06-02,50.00,,
2026-06-03,50.00,,
2026-06-04,50.00,,
2026-06-05,50.00,,
2026-06-06,50.00,,
2026-06-07,50.00,,
2026-06-08,50.00,,
