date,new_price_usd,used_price_usd,used_source
2026-05-09,80.00,,
2026-05-10,80.00,,
2026-05-11,80.00,,
2026-05-12,80.00,,
2026-05-13,80.00,,
2026-05-14,80.00,,
2026-05-15,80.00,,
2026-05-16,80.00,,
2026-05-17,80.00,,
2026-05-18,80.00,,
2026-05-19,80.00,,
2026-05-20,80.00,,
2026-05-21,80.00,,
2026-05-22,80.00,,
2026-05-23,80.00,,
2026-05-24,80.00,,
2026-05-25,80.00,,
2026-05-26,80.00,,
2026-05-27,80.00,,
2026-05-28,80.00,,
2026-05-29,80.00,,
2026-05-30,80.00,,
2026-05-31,80.00,,
2026-06-01,80.00,,
2026-06-02,80.00,,
2026-06-03,80.00,,
2026-06-04,80.00,,
2026-06-05,80.00,,
2026-06-06,80.00,,
2026-06-07,80.00,,
2026-06-08,80.00,,
2026-06-09,80.00,,
2026-06-10,80.00,,
2026-06-11,80.00,,
2026-06-12,80.00,,
2026-06-13,80.00,,
2026-06-14,80.00,,
2026-06-15,80.00,,
2026-06-16,80.00,,
2026-06-17,80.00,,
2026-06-18,80.00,,
2026-06-19,80.00,,
2026-06-20,80.00,,
2026-06-21,80.00,,
2026-06-22,80.00,,
2026-06-23,80.00,,
2026-06-24,80.00,,
