date,new_price_usd,used_price_usd,used_source
2026-05-09,2820.00,,
2026-05-10,2820.00,,
2026-05-11,2820.00,,
2026-05-12,2820.00,,
2026-05-13,2820.00,,
2026-05-14,2820.00,,
2026-05-15,2820.00,,
2026-05-16,2820.00,,
2026-05-17,2820.00,,
2026-05-18,2820.00,,
2026-05-19,2820.00,,
2026-05-20,2820.00,,
2026-05-21,2820.00,,
2026-05-22,2820.00,,
2026-05-23,2820.00,,
2026-05-24,2820.00,,
2026-05-25,2820.00,,
2026-05-26,2820.00,,
2026-05-27,2820.00,,
2026-05-28,2820.00,,
2026-05-29,2820.00,,
2026-05-30,2820.00,,
2026-05-31,2820.00,,
2026-06-01,2820.00,,
2026-06-02,2820.00,,
2026-06-03,2820.00,,
2026-06-04,2820.00,,
2026-06-05,2820.00,,
2026-06-06,2820.00,,
2026-06-07,2820.00,,
2026-06-08,2820.00,,
2026-06-09,2820.00,,
2026-06-10,2820.00,,
2026-06-11,2820.00,,
2026-06-12,2820.00,,
2026-06-13,2820.00,,
2026-06-14,2820.00,,
2026-06-15,2820.00,,
2026-06-16,350.00,,
2026-06-17,350.00,,
2026-06-18,350.00,,
