date,new_price_usd,used_price_usd,used_source
2026-05-09,17299.00,,
2026-05-10,17299.00,,
2026-05-11,17299.00,,
2026-05-12,17299.00,,
2026-05-13,17299.00,,
2026-05-14,17299.00,,
2026-05-15,17299.00,,
2026-05-16,17299.00,,
2026-05-17,17299.00,,
2026-05-18,17299.00,,
2026-05-19,17299.00,,
2026-05-20,17299.00,,
2026-05-21,17299.00,,
2026-05-22,17299.00,,
2026-05-23,17299.00,,
2026-05-24,17299.00,,
2026-05-25,17299.00,,
2026-05-26,17299.00,,
2026-05-27,17299.00,,
2026-05-28,17299.00,,
2026-05-29,17299.00,,
2026-05-30,17299.00,,
2026-05-31,17299.00,,
2026-06-01,17299.00,,
2026-06-02,17299.00,,
2026-06-03,17299.00,,
2026-06-04,17299.00,,
2026-06-05,17299.00,,
2026-06-06,17299.00,,
2026-06-07,17299.00,,
2026-06-08,17299.00,,
2026-06-09,17299.00,,
2026-06-10,17299.00,,
2026-06-11,17299.00,,
2026-06-12,17299.00,,
2026-06-13,17299.00,,
2026-06-14,17299.00,,
2026-06-15,17299.00,,
2026-06-16,17299.00,,
2026-06-17,17299.00,,
2026-06-18,17299.00,,
2026-06-19,17299.00,,
2026-06-20,17299.00,,
2026-06-21,17299.00,,
2026-06-22,17299.00,,
2026-06-23,17299.00,,
2026-06-24,17299.00,,
2026-06-25,17299.00,,
2026-06-26,17299.00,,
2026-06-27,17299.00,,
2026-06-28,17299.00,,
2026-06-29,17299.00,,
2026-06-30,17299.00,,
2026-07-01,17299.00,,
2026-07-02,17299.00,,
2026-07-03,17299.00,,
2026-07-04,17299.00,,
2026-07-05,17299.00,,
2026-07-06,17299.00,,
2026-07-07,17299.00,,
2026-07-08,17299.00,,
