date,new_price_usd,used_price_usd,used_source
2026-05-09,5900.00,,
2026-05-10,5900.00,,
2026-05-11,5900.00,,
2026-05-12,5900.00,,
2026-05-13,5900.00,,
2026-05-14,5900.00,,
2026-05-15,5900.00,,
2026-05-16,5900.00,,
2026-05-17,5900.00,,
2026-05-18,5900.00,,
2026-05-19,5900.00,,
2026-05-20,5900.00,,
2026-05-21,5900.00,,
2026-05-22,5900.00,,
2026-05-23,5900.00,,
2026-05-24,5900.00,,
2026-05-25,5900.00,,
2026-05-26,5900.00,,
2026-05-27,5900.00,,
2026-05-28,5900.00,,
2026-05-29,5900.00,,
2026-05-30,5900.00,,
2026-05-31,5900.00,,
2026-06-01,5900.00,,
2026-06-02,5900.00,,
2026-06-03,5900.00,,
2026-06-04,5900.00,,
2026-06-05,6140.00,,
2026-06-06,6140.00,,
2026-06-07,6140.00,,
2026-06-08,6140.00,,
2026-06-09,6140.00,,
2026-06-10,6140.00,,
2026-06-11,6140.00,,
2026-06-12,6140.00,,
2026-06-13,6140.00,,
2026-06-14,6140.00,,
