date,new_price_usd,used_price_usd,used_source
2026-09-02,6140.00,,
2026-09-03,6140.00,,
2026-09-04,6140.00,,
2026-09-05,6140.00,,
2026-09-06,6140.00,,
2026-09-07,6140.00,,
2026-09-08,6140.00,,
2026-09-09,6140.00,,
2026-09-10,6140.00,,
2026-09-11,6140.00,,
2026-09-12,6140.00,,
2026-09-13,6140.00,,
2026-09-14,6140.00,,
2026-09-15,6140.00,,
2026-09-16,6140.00,,
2026-09-17,6140.00,,
2026-09-18,6140.00,,
2026-09-19,6140.00,,
2026-09-20,6140.00,,
2026-09-21,6140.00,,
2026-09-22,6140.00,,
2026-09-23,6140.00,,
2026-09-24,6140.00,,
2026-09-25,6140.00,,
