date,new_price_usd,used_price_usd,used_source
2026-05-09,800.00,,
2026-05-10,800.00,,
2026-05-11,800.00,,
2026-05-12,800.00,,
2026-05-13,800.00,,
2026-05-14,800.00,,
2026-05-15,800.00,,
2026-05-16,800.00,,
2026-05-17,800.00,,
2026-05-18,800.00,,
2026-05-19,800.00,,
2026-05-20,800.00,,
2026-05-21,800.00,,
2026-05-22,800.00,,
2026-05-23,800.00,,
2026-05-24,800.00,,
2026-05-25,800.00,,
2026-05-26,800.00,,
2026-05-27,800.00,,
2026-05-28,800.00,,
2026-05-29,800.00,,
2026-05-30,800.00,,
2026-05-31,800.00,,
2026-06-01,800.00,,
2026-06-02,800.00,,
2026-06-03,800.00,,
2026-06-04,800.00,,
2026-06-05,800.00,,
2026-06-06,800.00,,
2026-06-07,800.00,,
2026-06-08,800.00,,
2026-06-09,800.00,,
2026-06-10,800.00,,
2026-06-11,800.00,,
2026-06-12,800.00,,
2026-06-13,800.00,,
2026-06-14,800.00,,
2026-06-15,800.00,,
2026-06-16,800.00,,
2026-06-17,800.00,,
