date,new_price_usd,used_price_usd,used_source
2026-05-09,7850.00,,
2026-05-10,7850.00,,
2026-05-11,7850.00,,
2026-05-12,7850.00,,
2026-05-13,7850.00,,
2026-05-14,7850.00,,
2026-05-15,7850.00,,
2026-05-16,7850.00,,
2026-05-17,7850.00,,
2026-05-18,7850.00,,
2026-05-19,7850.00,,
2026-05-20,7850.00,,
2026-05-21,7850.00,,
2026-05-22,7850.00,,
2026-05-23,7850.00,,
2026-05-24,7850.00,,
2026-05-25,7850.00,,
2026-05-26,7850.00,,
2026-05-27,7850.00,,
2026-05-28,7850.00,,
2026-05-29,7850.00,,
2026-05-30,7850.00,,
2026-05-31,7850.00,,
2026-06-01,7850.00,,
2026-06-02,7850.00,,
2026-06-03,7850.00,,
2026-06-04,7850.00,,
2026-06-05,7850.00,,
2026-06-06,7850.00,,
2026-06-07,7850.00,,
2026-06-08,7850.00,,
2026-06-09,7850.00,,
2026-06-10,7850.00,,
2026-06-11,7850.00,,
2026-06-12,7850.00,,
2026-06-13,7850.00,,
2026-06-14,7850.00,,
2026-06-15,7850.00,,
2026-06-16,7850.00,,
2026-06-17,7850.00,,
2026-06-18,7850.00,,
2026-06-19,7850.00,,
2026-06-20,7850.00,,
2026-06-21,7850.00,,
2026-06-22,7850.00,,
2026-06-23,7850.00,,
2026-06-24,7850.00,,
