date,new_price_usd,used_price_usd,used_source
2026-05-09,1352.48,,
2026-05-10,1352.48,,
2026-05-11,1352.48,,
2026-05-12,1352.48,,
2026-05-13,1352.48,,
2026-05-14,1352.48,,
2026-05-15,1352.48,,
2026-05-16,1352.48,,
2026-05-17,1352.48,,
2026-05-18,1352.48,,
2026-05-19,1352.48,,
2026-05-20,1352.48,,
2026-05-21,1352.48,,
2026-05-22,1352.48,,
2026-05-23,1352.48,,
2026-05-24,1352.48,,
2026-05-25,1352.48,,
2026-05-26,1352.48,,
2026-05-27,1352.48,,
2026-05-28,1352.48,,
2026-05-29,1352.48,,
2026-05-30,1352.48,,
2026-05-31,1352.48,,
2026-06-01,1352.48,,
2026-06-02,1352.48,,
2026-06-03,1352.48,,
2026-06-04,1352.48,,
2026-06-05,1352.48,,
2026-06-06,1352.48,,
