date,new_price_usd,used_price_usd,used_source
2026-07-10,1200.00,,
2026-07-11,1200.00,,
2026-07-12,1200.00,,
2026-07-13,1200.00,,
2026-07-14,1200.00,,
2026-07-15,1200.00,,
2026-07-16,1200.00,,
2026-07-17,1200.00,,
2026-07-18,1200.00,,
2026-07-19,1200.00,,
2026-07-20,1200.00,,
2026-07-21,1200.00,,
2026-07-22,1200.00,,
2026-07-23,1200.00,,
2026-07-24,1200.00,,
2026-07-25,1200.00,,
2026-07-26,1200.00,,
2026-07-27,1200.00,,
2026-07-28,1200.00,,
2026-07-29,1200.00,,
2026-07-30,1200.00,,
2026-07-31,1200.00,,
2026-08-01,1200.00,,
2026-08-02,1200.00,,
2026-08-03,1200.00,,
2026-08-04,1200.00,,
2026-08-05,1200.00,,
2026-08-06,1200.00,,
2026-08-07,1200.00,,
2026-08-08,1200.00,,
2026-08-09,1200.00,,
2026-08-10,1200.00,,
2026-08-11,1200.00,,
2026-08-12,1200.00,,
2026-08-13,1200.00,,
2026-08-14,1200.00,,
2026-08-15,1200.00,,
2026-08-16,1200.00,,
2026-08-17,1200.00,,
2026-08-18,1200.00,,
