date,new_price_usd,used_price_usd,used_source
2026-05-09,3100.00,,
2026-05-10,3100.00,,
2026-05-11,3100.00,,
2026-05-12,3100.00,,
2026-05-13,3100.00,,
2026-05-14,3100.00,,
2026-05-15,3100.00,,
2026-05-16,3100.00,,
2026-05-17,3100.00,,
2026-05-18,3100.00,,
2026-05-19,3100.00,,
2026-05-20,3100.00,,
2026-05-21,3100.00,,
2026-05-22,3100.00,,
2026-05-23,3100.00,,
2026-05-24,3100.00,,
2026-05-25,3100.00,,
2026-05-26,3100.00,,
2026-05-27,3100.00,,
2026-05-28,3100.00,,
2026-05-29,3100.00,,
2026-05-30,3100.00,,
2026-05-31,3100.00,,
2026-06-01,3100.00,,
2026-06-02,3100.00,,
2026-06-03,3100.00,,
2026-06-04,3100.00,,
2026-06-05,3100.00,,
2026-06-06,3100.00,,
2026-06-07,3100.00,,
2026-06-08,3100.00,,
2026-06-09,3100.00,,
2026-06-10,3100.00,,
