date,new_price_usd,used_price_usd,used_source
2026-05-09,6000.00,,
2026-05-10,6000.00,,
2026-05-11,6000.00,,
2026-05-12,6000.00,,
2026-05-13,6000.00,,
2026-05-14,6000.00,,
2026-05-15,6000.00,,
2026-05-16,6000.00,,
2026-05-17,6000.00,,
2026-05-18,6000.00,,
2026-05-19,6000.00,,
2026-05-20,6000.00,,
2026-05-21,6000.00,,
2026-05-22,6000.00,,
2026-05-23,6000.00,,
2026-05-24,6000.00,,
2026-05-25,6000.00,,
2026-05-26,6000.00,,
2026-05-27,6000.00,,
2026-05-28,6000.00,,
2026-05-29,6000.00,,
2026-05-30,6000.00,,
2026-05-31,6000.00,,
2026-06-01,6000.00,,
2026-06-02,6000.00,,
2026-06-03,6000.00,,
2026-06-04,6000.00,,
2026-06-05,6000.00,,
2026-06-06,6000.00,,
2026-06-07,6000.00,,
2026-06-08,6000.00,,
2026-06-09,6000.00,,
2026-06-10,6000.00,,
2026-06-11,6000.00,,
2026-06-12,6000.00,,
2026-06-13,6000.00,,
2026-06-14,6000.00,,
2026-06-15,6000.00,,
2026-06-16,6000.00,,
2026-06-17,6000.00,,
2026-06-18,6000.00,,
2026-06-19,6000.00,,
2026-06-20,6000.00,,
2026-06-21,6000.00,,
2026-06-22,6000.00,,
2026-06-23,6000.00,,
2026-06-24,6000.00,,
2026-06-25,6000.00,,
2026-06-26,6000.00,,
2026-06-27,6000.00,,
2026-06-28,6000.00,,
2026-06-29,6000.00,,
2026-06-30,6000.00,,
2026-07-01,6000.00,,
2026-07-02,6000.00,,
2026-07-03,6000.00,,
