date,new_price_usd,used_price_usd,used_source
2026-05-09,6445.00,,
2026-05-10,6445.00,,
2026-05-11,6445.00,,
2026-05-12,6445.00,,
2026-05-13,6445.00,,
2026-05-14,6445.00,,
2026-05-15,6445.00,,
2026-05-16,6445.00,,
2026-05-17,6445.00,,
2026-05-18,6445.00,,
2026-05-19,6445.00,,
2026-05-20,6445.00,,
2026-05-21,6445.00,,
2026-05-22,6445.00,,
2026-05-23,6445.00,,
2026-05-24,6445.00,,
2026-05-25,6445.00,,
2026-05-26,6445.00,,
2026-05-27,6445.00,,
2026-05-28,6445.00,,
2026-05-29,6445.00,,
2026-05-30,6445.00,,
2026-05-31,6445.00,,
2026-06-01,6445.00,,
2026-06-02,6445.00,,
2026-06-03,6445.00,,
2026-06-04,6445.00,,
2026-06-05,6445.00,,
2026-06-06,6445.00,,
2026-06-07,6445.00,,
2026-06-08,6445.00,,
2026-06-09,6445.00,,
2026-06-10,6445.00,,
2026-06-11,6445.00,,
2026-06-12,6445.00,,
2026-06-13,6445.00,,
2026-06-14,6445.00,,
2026-06-15,6445.00,,
2026-06-16,6445.00,,
2026-06-17,6445.00,,
2026-06-18,6445.00,,
