date,new_price_usd,used_price_usd,used_source
2026-06-05,6117.00,,
2026-06-06,6117.00,,
2026-06-07,6117.00,,
2026-06-08,6117.00,,
2026-06-09,6117.00,,
2026-06-10,6117.00,,
2026-06-11,6117.00,,
2026-06-12,6117.00,,
2026-06-13,6117.00,,
2026-06-14,6117.00,,
2026-06-15,6117.00,,
2026-06-16,6117.00,,
2026-06-17,6117.00,,
2026-06-18,6117.00,,
2026-06-19,6117.00,,
2026-06-20,6117.00,,
2026-06-21,6117.00,,
2026-06-22,6117.00,,
2026-06-23,6117.00,,
2026-06-24,6117.00,,
2026-06-25,6117.00,,
2026-06-26,6117.00,,
2026-06-27,6117.00,,
2026-06-28,6117.00,,
