date,new_price_usd,used_price_usd,used_source
2026-06-05,19999.00,,
2026-06-06,19999.00,,
2026-06-07,19999.00,,
2026-06-08,19999.00,,
2026-06-09,19999.00,,
2026-06-10,19999.00,,
2026-06-11,19999.00,,
2026-06-12,19999.00,,
2026-06-13,19999.00,,
2026-06-14,19999.00,,
2026-06-15,19999.00,,
2026-06-16,19999.00,,
2026-06-17,19999.00,,
2026-06-18,19999.00,,
2026-06-19,19999.00,,
2026-06-20,19999.00,,
2026-06-21,19999.00,,
2026-06-22,19999.00,,
2026-06-23,19999.00,,
2026-06-24,19999.00,,
2026-06-25,19999.00,,
2026-06-26,19999.00,,
2026-06-27,19999.00,,
