date,new_price_usd,used_price_usd,used_source
2026-05-09,1811.00,,
2026-05-10,1811.00,,
2026-05-11,1811.00,,
2026-05-12,1811.00,,
2026-05-13,1811.00,,
2026-05-14,1811.00,,
2026-05-15,1811.00,,
2026-05-16,1811.00,,
2026-05-17,1811.00,,
2026-05-18,1811.00,,
2026-05-19,1811.00,,
2026-05-20,1811.00,,
2026-05-21,1811.00,,
2026-05-22,1811.00,,
2026-05-23,1811.00,,
2026-05-24,1811.00,,
2026-05-25,1811.00,,
2026-05-26,1811.00,,
2026-05-27,1811.00,,
2026-05-28,1811.00,,
2026-05-29,1811.00,,
2026-05-30,1811.00,,
2026-05-31,1811.00,,
2026-06-01,1811.00,,
2026-06-02,1811.00,,
2026-06-03,1811.00,,
2026-06-04,1811.00,,
2026-06-05,1811.00,,
2026-06-06,1811.00,,
2026-06-07,1811.00,,
2026-06-08,1811.00,,
2026-06-09,1811.00,,
