date,daily_profit_usd,monthly_profit_usd,coin,hashrate,power_w,electricity_cost
2026-08-27,0.89,26.7,BTC+FB+NMC,279Th,5301,0.06
2026-08-28,0.89,26.7,BTC+FB+NMC,279Th,5301,0.06
2026-08-29,0.89,26.7,BTC+FB+NMC,279Th,5301,0.06
2026-08-30,0.89,26.7,BTC+FB+NMC,279Th,5301,0.06
2026-08-31,0.89,26.7,BTC+FB+NMC,279Th,5301,0.06
2026-09-01,0.8,24.0,BTC+FB+NMC,279Th,5301,0.06
2026-09-02,0.63,18.9,BTC+FB+NMC,279Th,5301,0.06
2026-09-03,0.56,16.8,BTC+FB+NMC,279Th,5301,0.06
2026-09-04,0.56,16.8,BTC+FB+NMC,279Th,5301,0.06
2026-09-05,0.56,16.8,BTC+FB+NMC,279Th,5301,0.06
2026-09-06,0.56,16.8,BTC+FB+NMC,279Th,5301,0.06
2026-09-07,0.56,16.8,BTC+FB+NMC,279Th,5301,0.06
2026-09-08,0.78,23.4,BTC+FB+NMC,279Th,5301,0.06
2026-09-09,0.72,21.6,BTC+FB+NMC,279Th,5301,0.06
2026-09-10,0.65,19.5,BTC+FB+NMC,279Th,5301,0.06
2026-09-11,0.65,19.5,BTC+FB+NMC,279Th,5301,0.06
2026-09-12,0.48,14.4,BTC+FB+NMC,279Th,5301,0.06
