date,daily_profit_usd,monthly_profit_usd,coin,hashrate,power_w,electricity_cost
2026-05-09,1.47,44.1,BTC+FB+NMC,226Th,3729,0.06
2026-05-10,1.47,44.1,BTC+FB+NMC,226Th,3729,0.06
2026-05-11,1.47,44.1,BTC+FB+NMC,226Th,3729,0.06
2026-05-12,1.59,47.7,BTC+FB+NMC,226Th,3729,0.06
2026-05-13,1.58,47.4,BTC+FB+NMC,226Th,3729,0.06
2026-05-14,1.43,42.9,BTC+FB+NMC,226Th,3729,0.06
2026-05-15,1.6,48.0,BTC+FB+NMC,226Th,3729,0.06
2026-05-16,1.12,33.6,BTC+FB+NMC,226Th,3729,0.06
2026-05-17,1.12,33.6,BTC+FB+NMC,226Th,3729,0.06
2026-05-18,1.12,33.6,BTC+FB+NMC,226Th,3729,0.06
2026-05-19,0.9,27.0,BTC+FB+NMC,226Th,3729,0.06
2026-05-20,0.86,25.8,BTC+FB+NMC,226Th,3729,0.06
2026-05-21,0.93,27.9,BTC+FB+NMC,226Th,3729,0.06
2026-05-22,0.95,28.5,BTC+FB+NMC,226Th,3729,0.06
2026-05-23,0.95,28.5,BTC+FB+NMC,226Th,3729,0.06
2026-05-24,0.95,28.5,BTC+FB+NMC,226Th,3729,0.06
2026-05-25,0.89,26.7,BTC+FB+NMC,226Th,3729,0.06
2026-05-26,0.85,25.5,BTC+FB+NMC,226Th,3729,0.06
2026-05-27,0.76,22.8,BTC+FB+NMC,226Th,3729,0.06
2026-05-28,0.63,18.9,BTC+FB+NMC,226Th,3729,0.06
2026-05-29,0.51,15.3,BTC+FB+NMC,226Th,3729,0.06
2026-05-30,0.51,15.3,BTC+FB+NMC,226Th,3729,0.06
2026-05-31,0.51,15.3,BTC+FB+NMC,226Th,3729,0.06
2026-06-01,0.39,11.7,BTC+FB+NMC,226Th,3729,0.06
2026-06-02,0.39,11.7,BTC+FB+NMC,226Th,3729,0.06
2026-06-03,0.06,1.8,BTC+FB+NMC,226Th,3729,0.06
2026-06-14,0.23,6.9,BTC+FB+NMC,226Th,3729,0.06
2026-06-15,0.35,10.5,BTC+FB+NMC,226Th,3729,0.06
2026-06-16,0.38,11.4,BTC+FB+NMC,226Th,3729,0.06
2026-06-17,0.44,13.2,BTC+FB+NMC,226Th,3729,0.06
2026-06-18,0.44,13.2,BTC+FB+NMC,226Th,3729,0.06
2026-06-19,0.44,13.2,BTC+FB+NMC,226Th,3729,0.06
2026-06-20,0.44,13.2,BTC+FB+NMC,226Th,3729,0.06
2026-06-21,0.44,13.2,BTC+FB+NMC,226Th,3729,0.06
2026-06-22,0.44,13.2,BTC+FB+NMC,226Th,3729,0.06
2026-06-23,0.44,13.2,BTC+FB+NMC,226Th,3729,0.06
2026-06-24,0.44,13.2,BTC+FB+NMC,226Th,3729,0.06
2026-06-25,0.44,13.2,BTC+FB+NMC,226Th,3729,0.06
2026-06-26,0.44,13.2,BTC+FB+NMC,226Th,3729,0.06
2026-06-27,0.44,13.2,BTC+FB+NMC,226Th,3729,0.06
2026-06-28,0.44,13.2,BTC+FB+NMC,226Th,3729,0.06
2026-06-29,0.44,13.2,BTC+FB+NMC,226Th,3729,0.06
2026-06-30,0.44,13.2,BTC+FB+NMC,226Th,3729,0.06
2026-07-01,0.44,13.2,BTC+FB+NMC,226Th,3729,0.06
2026-07-02,0.44,13.2,BTC+FB+NMC,226Th,3729,0.06
2026-07-03,0.44,13.2,BTC+FB+NMC,226Th,3729,0.06
2026-07-04,0.44,13.2,BTC+FB+NMC,226Th,3729,0.06
2026-07-05,0.44,13.2,BTC+FB+NMC,226Th,3729,0.06
2026-07-06,0.44,13.2,BTC+FB+NMC,226Th,3729,0.06
2026-07-07,0.44,13.2,BTC+FB+NMC,226Th,3729,0.06
2026-07-08,0.44,13.2,BTC+FB+NMC,226Th,3729,0.06
2026-07-09,0.44,13.2,BTC+FB+NMC,226Th,3729,0.06
2026-07-16,0.12,3.6,BTC+FB+NMC,226Th,3729,0.06
2026-07-17,0.12,3.6,BTC+FB+NMC,226Th,3729,0.06
2026-07-18,0.12,3.6,BTC+FB+NMC,226Th,3729,0.06
2026-07-19,0.12,3.6,BTC+FB+NMC,226Th,3729,0.06
2026-07-20,0.12,3.6,BTC+FB+NMC,226Th,3729,0.06
2026-07-21,0.12,3.6,BTC+FB+NMC,226Th,3729,0.06
2026-07-22,0.12,3.6,BTC+FB+NMC,226Th,3729,0.06
2026-07-23,0.12,3.6,BTC+FB+NMC,226Th,3729,0.06
2026-07-24,0.12,3.6,BTC+FB+NMC,226Th,3729,0.06
2026-07-25,0.15,4.5,BTC+FB+NMC,226Th,3729,0.06
2026-07-26,0.15,4.5,BTC+FB+NMC,226Th,3729,0.06
2026-07-27,0.15,4.5,BTC+FB+NMC,226Th,3729,0.06
2026-07-30,0.08,2.4,BTC+FB+NMC,226Th,3729,0.06
2026-07-31,0.08,2.4,BTC+FB+NMC,226Th,3729,0.06
2026-08-01,0.08,2.4,BTC+FB+NMC,226Th,3729,0.06
2026-08-02,0.08,2.4,BTC+FB+NMC,226Th,3729,0.06
2026-08-03,0.08,2.4,BTC+FB+NMC,226Th,3729,0.06
2026-08-04,0.08,2.4,BTC+FB+NMC,226Th,3729,0.06
2026-08-05,0.08,2.4,BTC+FB+NMC,226Th,3729,0.06
2026-08-06,0.08,2.4,BTC+FB+NMC,226Th,3729,0.06
2026-08-07,0.08,2.4,BTC+FB+NMC,226Th,3729,0.06
2026-08-08,0.08,2.4,BTC+FB+NMC,226Th,3729,0.06
2026-08-09,0.08,2.4,BTC+FB+NMC,226Th,3729,0.06
2026-08-10,0.08,2.4,BTC+FB+NMC,226Th,3729,0.06
2026-08-11,0.08,2.4,BTC+FB+NMC,226Th,3729,0.06
2026-08-12,0.08,2.4,BTC+FB+NMC,226Th,3729,0.06
2026-08-13,0.08,2.4,BTC+FB+NMC,226Th,3729,0.06
2026-08-14,0.08,2.4,BTC+FB+NMC,226Th,3729,0.06
2026-08-15,0.08,2.4,BTC+FB+NMC,226Th,3729,0.06
2026-08-16,0.08,2.4,BTC+FB+NMC,226Th,3729,0.06
2026-08-17,0.08,2.4,BTC+FB+NMC,226Th,3729,0.06
2026-08-18,0.08,2.4,BTC+FB+NMC,226Th,3729,0.06
2026-08-19,0.08,2.4,BTC+FB+NMC,226Th,3729,0.06
2026-08-20,0.08,2.4,BTC+FB+NMC,226Th,3729,0.06
