date,daily_profit_usd,monthly_profit_usd,coin,hashrate,power_w,electricity_cost
2026-05-09,2.91,87.3,BTC+FB+NMC,446Th,7360,0.06
2026-05-10,2.91,87.3,BTC+FB+NMC,446Th,7360,0.06
2026-05-11,2.91,87.3,BTC+FB+NMC,446Th,7360,0.06
2026-05-12,3.13,93.9,BTC+FB+NMC,446Th,7360,0.06
2026-05-13,3.12,93.6,BTC+FB+NMC,446Th,7360,0.06
2026-05-14,2.82,84.6,BTC+FB+NMC,446Th,7360,0.06
2026-05-15,3.16,94.8,BTC+FB+NMC,446Th,7360,0.06
2026-05-16,2.21,66.3,BTC+FB+NMC,446Th,7360,0.06
2026-05-17,2.21,66.3,BTC+FB+NMC,446Th,7360,0.06
2026-05-18,2.21,66.3,BTC+FB+NMC,446Th,7360,0.06
2026-05-19,1.77,53.1,BTC+FB+NMC,446Th,7360,0.06
2026-05-20,1.7,51.0,BTC+FB+NMC,446Th,7360,0.06
2026-05-21,1.84,55.2,BTC+FB+NMC,446Th,7360,0.06
