date,daily_profit_usd,monthly_profit_usd,coin,hashrate,power_w,electricity_cost
2026-05-09,4.12,123.6,BTC+FB+NMC,290Th,3625,0.06
2026-05-10,4.12,123.6,BTC+FB+NMC,290Th,3625,0.06
2026-05-11,4.12,123.6,BTC+FB+NMC,290Th,3625,0.06
2026-05-12,4.26,127.8,BTC+FB+NMC,290Th,3625,0.06
2026-05-13,4.26,127.8,BTC+FB+NMC,290Th,3625,0.06
2026-05-14,4.06,121.8,BTC+FB+NMC,290Th,3625,0.06
2026-05-15,4.29,128.7,BTC+FB+NMC,290Th,3625,0.06
2026-05-16,3.67,110.1,BTC+FB+NMC,290Th,3625,0.06
2026-05-17,3.67,110.1,BTC+FB+NMC,290Th,3625,0.06
2026-05-18,3.67,110.1,BTC+FB+NMC,290Th,3625,0.06
2026-05-19,3.38,101.4,BTC+FB+NMC,290Th,3625,0.06
2026-05-20,3.33,99.9,BTC+FB+NMC,290Th,3625,0.06
2026-05-21,3.43,102.9,BTC+FB+NMC,290Th,3625,0.06
2026-05-22,3.45,103.5,BTC+FB+NMC,290Th,3625,0.06
2026-05-23,3.45,103.5,BTC+FB+NMC,290Th,3625,0.06
2026-05-24,3.45,103.5,BTC+FB+NMC,290Th,3625,0.06
2026-05-25,3.37,101.1,BTC+FB+NMC,290Th,3625,0.06
2026-05-26,3.32,99.6,BTC+FB+NMC,290Th,3625,0.06
2026-05-27,3.2,96.0,BTC+FB+NMC,290Th,3625,0.06
2026-05-28,3.04,91.2,BTC+FB+NMC,290Th,3625,0.06
2026-05-29,2.88,86.4,BTC+FB+NMC,290Th,3625,0.06
2026-05-30,2.88,86.4,BTC+FB+NMC,290Th,3625,0.06
2026-05-31,2.88,86.4,BTC+FB+NMC,290Th,3625,0.06
2026-06-01,2.73,81.9,BTC+FB+NMC,290Th,3625,0.06
2026-06-02,2.73,81.9,BTC+FB+NMC,290Th,3625,0.06
2026-06-03,2.31,69.3,BTC+FB+NMC,290Th,3625,0.06
2026-06-04,1.96,58.8,BTC+FB+NMC,290Th,3625,0.06
2026-06-05,1.49,44.7,BTC+FB+NMC,290Th,3625,0.06
2026-06-06,1.49,44.7,BTC+FB+NMC,290Th,3625,0.06
2026-06-07,1.49,44.7,BTC+FB+NMC,290Th,3625,0.06
2026-06-08,1.37,41.1,BTC+FB+NMC,290Th,3625,0.06
2026-06-09,1.33,39.9,BTC+FB+NMC,290Th,3625,0.06
2026-06-10,1.15,34.5,BTC+FB+NMC,290Th,3625,0.06
2026-06-11,1.15,34.5,BTC+FB+NMC,290Th,3625,0.06
2026-06-12,1.15,34.5,BTC+FB+NMC,290Th,3625,0.06
2026-06-13,1.43,42.9,BTC+FB+NMC,290Th,3625,0.06
