date,daily_profit_usd,monthly_profit_usd,coin,hashrate,power_w,electricity_cost
2026-05-09,9.37,281.1,BTC+FB+NMC,660Th,8250,0.06
2026-05-10,9.37,281.1,BTC+FB+NMC,660Th,8250,0.06
2026-05-11,9.37,281.1,BTC+FB+NMC,660Th,8250,0.06
2026-05-12,9.7,291.0,BTC+FB+NMC,660Th,8250,0.06
2026-05-13,9.69,290.7,BTC+FB+NMC,660Th,8250,0.06
2026-05-14,9.24,277.2,BTC+FB+NMC,660Th,8250,0.06
2026-05-15,9.75,292.5,BTC+FB+NMC,660Th,8250,0.06
2026-05-16,8.35,250.5,BTC+FB+NMC,660Th,8250,0.06
2026-05-17,8.35,250.5,BTC+FB+NMC,660Th,8250,0.06
2026-05-18,8.35,250.5,BTC+FB+NMC,660Th,8250,0.06
2026-05-19,7.69,230.7,BTC+FB+NMC,660Th,8250,0.06
2026-05-20,7.59,227.7,BTC+FB+NMC,660Th,8250,0.06
2026-05-21,7.8,234.0,BTC+FB+NMC,660Th,8250,0.06
2026-05-22,7.84,235.2,BTC+FB+NMC,660Th,8250,0.06
2026-05-23,7.84,235.2,BTC+FB+NMC,660Th,8250,0.06
2026-05-24,7.84,235.2,BTC+FB+NMC,660Th,8250,0.06
2026-05-25,7.66,229.8,BTC+FB+NMC,660Th,8250,0.06
2026-05-26,7.56,226.8,BTC+FB+NMC,660Th,8250,0.06
2026-05-27,7.29,218.7,BTC+FB+NMC,660Th,8250,0.06
2026-05-28,6.91,207.3,BTC+FB+NMC,660Th,8250,0.06
2026-05-29,6.56,196.8,BTC+FB+NMC,660Th,8250,0.06
2026-05-30,6.56,196.8,BTC+FB+NMC,660Th,8250,0.06
2026-05-31,6.56,196.8,BTC+FB+NMC,660Th,8250,0.06
2026-06-01,6.21,186.3,BTC+FB+NMC,660Th,8250,0.06
2026-06-02,6.21,186.3,BTC+FB+NMC,660Th,8250,0.06
2026-06-03,5.25,157.5,BTC+FB+NMC,660Th,8250,0.06
2026-06-04,4.47,134.1,BTC+FB+NMC,660Th,8250,0.06
2026-06-05,3.4,102.0,BTC+FB+NMC,660Th,8250,0.06
2026-06-06,3.4,102.0,BTC+FB+NMC,660Th,8250,0.06
2026-06-07,3.4,102.0,BTC+FB+NMC,660Th,8250,0.06
2026-06-08,3.11,93.3,BTC+FB+NMC,660Th,8250,0.06
2026-06-09,3.03,90.9,BTC+FB+NMC,660Th,8250,0.06
2026-06-10,2.62,78.6,BTC+FB+NMC,660Th,8250,0.06
2026-06-11,2.62,78.6,BTC+FB+NMC,660Th,8250,0.06
2026-06-12,2.62,78.6,BTC+FB+NMC,660Th,8250,0.06
2026-06-13,3.26,97.8,BTC+FB+NMC,660Th,8250,0.06
2026-06-14,5.75,172.5,BTC+FB+NMC,660Th,8250,0.06
2026-06-15,6.08,182.4,BTC+FB+NMC,660Th,8250,0.06
2026-06-16,6.18,185.4,BTC+FB+NMC,660Th,8250,0.06
2026-06-17,6.35,190.5,BTC+FB+NMC,660Th,8250,0.06
2026-06-18,6.35,190.5,BTC+FB+NMC,660Th,8250,0.06
2026-06-19,6.35,190.5,BTC+FB+NMC,660Th,8250,0.06
2026-06-20,6.35,190.5,BTC+FB+NMC,660Th,8250,0.06
2026-06-21,6.35,190.5,BTC+FB+NMC,660Th,8250,0.06
2026-06-22,6.35,190.5,BTC+FB+NMC,660Th,8250,0.06
2026-06-23,6.35,190.5,BTC+FB+NMC,660Th,8250,0.06
2026-06-24,6.35,190.5,BTC+FB+NMC,660Th,8250,0.06
2026-06-25,6.35,190.5,BTC+FB+NMC,660Th,8250,0.06
2026-06-26,6.35,190.5,BTC+FB+NMC,660Th,8250,0.06
2026-06-27,6.35,190.5,BTC+FB+NMC,660Th,8250,0.06
2026-06-28,6.35,190.5,BTC+FB+NMC,660Th,8250,0.06
2026-06-29,6.35,190.5,BTC+FB+NMC,660Th,8250,0.06
2026-06-30,6.35,190.5,BTC+FB+NMC,660Th,8250,0.06
2026-07-01,6.35,190.5,BTC+FB+NMC,660Th,8250,0.06
2026-07-02,6.35,190.5,BTC+FB+NMC,660Th,8250,0.06
2026-07-03,6.35,190.5,BTC+FB+NMC,660Th,8250,0.06
2026-07-04,6.35,190.5,BTC+FB+NMC,660Th,8250,0.06
2026-07-05,6.35,190.5,BTC+FB+NMC,660Th,8250,0.06
2026-07-06,6.35,190.5,BTC+FB+NMC,660Th,8250,0.06
2026-07-07,6.35,190.5,BTC+FB+NMC,660Th,8250,0.06
2026-07-08,6.35,190.5,BTC+FB+NMC,660Th,8250,0.06
2026-07-09,6.35,190.5,BTC+FB+NMC,660Th,8250,0.06
2026-07-10,3.79,113.7,BTC+FB+NMC,660Th,8250,0.06
2026-07-11,3.79,113.7,BTC+FB+NMC,660Th,8250,0.06
2026-07-12,3.79,113.7,BTC+FB+NMC,660Th,8250,0.06
2026-07-13,3.79,113.7,BTC+FB+NMC,660Th,8250,0.06
2026-07-14,3.79,113.7,BTC+FB+NMC,660Th,8250,0.06
2026-07-15,3.79,113.7,BTC+FB+NMC,660Th,8250,0.06
2026-07-16,5.42,162.6,BTC+FB+NMC,660Th,8250,0.06
2026-07-17,5.42,162.6,BTC+FB+NMC,660Th,8250,0.06
2026-07-18,5.42,162.6,BTC+FB+NMC,660Th,8250,0.06
2026-07-19,5.42,162.6,BTC+FB+NMC,660Th,8250,0.06
2026-07-20,5.42,162.6,BTC+FB+NMC,660Th,8250,0.06
