date,daily_profit_usd,monthly_profit_usd,coin,hashrate,power_w,electricity_cost
2026-06-05,5.59,167.7,BTC+FB+NMC,680Th,7412,0.06
2026-06-06,5.59,167.7,BTC+FB+NMC,680Th,7412,0.06
2026-06-07,5.59,167.7,BTC+FB+NMC,680Th,7412,0.06
2026-06-08,5.3,159.0,BTC+FB+NMC,680Th,7412,0.06
2026-06-09,5.21,156.3,BTC+FB+NMC,680Th,7412,0.06
2026-06-10,4.79,143.7,BTC+FB+NMC,680Th,7412,0.06
2026-06-11,4.79,143.7,BTC+FB+NMC,680Th,7412,0.06
2026-06-12,4.79,143.7,BTC+FB+NMC,680Th,7412,0.06
2026-06-13,5.45,163.5,BTC+FB+NMC,680Th,7412,0.06
2026-06-14,8.02,240.6,BTC+FB+NMC,680Th,7412,0.06
