date,daily_profit_usd,monthly_profit_usd,coin,hashrate,power_w,electricity_cost
2026-05-09,1.25,37.5,DASH,1.77Th,2839,0.06
2026-05-10,1.25,37.5,DASH,1.77Th,2839,0.06
2026-05-11,1.25,37.5,DASH,1.77Th,2839,0.06
2026-05-12,2.7,81.0,DASH,1.77Th,2839,0.06
2026-05-13,1.22,36.6,DASH,1.77Th,2839,0.06
2026-05-14,2.6,78.0,DASH,1.77Th,2839,0.06
2026-05-15,0.98,29.4,DASH,1.77Th,2839,0.06
2026-05-16,0.77,23.1,DASH,1.77Th,2839,0.06
2026-05-17,0.77,23.1,DASH,1.77Th,2839,0.06
2026-05-18,0.77,23.1,DASH,1.77Th,2839,0.06
2026-05-19,2.52,75.6,DASH,1.77Th,2839,0.06
2026-05-20,3.38,101.4,DASH,1.77Th,2839,0.06
2026-05-21,3.86,115.8,DASH,1.77Th,2839,0.06
2026-05-22,0.64,19.2,DASH,1.77Th,2839,0.06
2026-05-23,0.64,19.2,DASH,1.77Th,2839,0.06
2026-05-24,0.64,19.2,DASH,1.77Th,2839,0.06
2026-05-26,7.74,232.2,DASH,1.77Th,2839,0.06
