date,daily_profit_usd,monthly_profit_usd,coin,hashrate,power_w,electricity_cost
2026-05-09,1.01,30.3,ETC,9.5Gh,2470,0.06
2026-05-10,1.01,30.3,ETC,9.5Gh,2470,0.06
2026-05-11,1.01,30.3,ETC,9.5Gh,2470,0.06
2026-05-12,1.45,43.5,ETC,9.5Gh,2470,0.06
2026-05-13,1.33,39.9,ETC,9.5Gh,2470,0.06
2026-05-14,0.95,28.5,ETC,9.5Gh,2470,0.06
2026-05-15,1.22,36.6,ETC,9.5Gh,2470,0.06
2026-05-16,1.09,32.7,ETC,9.5Gh,2470,0.06
2026-05-17,1.09,32.7,ETC,9.5Gh,2470,0.06
2026-05-18,1.09,32.7,ETC,9.5Gh,2470,0.06
2026-05-19,0.82,24.6,ETC,9.5Gh,2470,0.06
2026-05-20,0.83,24.9,ETC,9.5Gh,2470,0.06
2026-05-21,1.09,32.7,ETC,9.5Gh,2470,0.06
2026-05-22,1.14,34.2,ETC,9.5Gh,2470,0.06
2026-05-23,1.14,34.2,ETC,9.5Gh,2470,0.06
2026-05-24,1.14,34.2,ETC,9.5Gh,2470,0.06
2026-05-25,0.73,21.9,ETC,9.5Gh,2470,0.06
2026-05-26,0.77,23.1,ETC,9.5Gh,2470,0.06
