date,daily_profit_usd,monthly_profit_usd,coin,hashrate,power_w,electricity_cost
2026-05-09,0.26,7.8,HNS,9Th,2079,0.06
2026-05-10,0.26,7.8,HNS,9Th,2079,0.06
2026-05-11,0.26,7.8,HNS,9Th,2079,0.06
2026-05-12,0.24,7.2,HNS,9Th,2079,0.06
2026-05-13,0.51,15.3,HNS,9Th,2079,0.06
2026-05-16,0.94,28.2,HNS,9Th,2079,0.06
2026-05-17,0.94,28.2,HNS,9Th,2079,0.06
2026-05-18,0.94,28.2,HNS,9Th,2079,0.06
2026-05-19,0.34,10.2,HNS,9Th,2079,0.06
2026-05-20,0.37,11.1,HNS,9Th,2079,0.06
2026-05-21,0.19,5.7,HNS,9Th,2079,0.06
2026-05-25,0.13,3.9,HNS,9Th,2079,0.06
